----,
DateTime:        , 2023/09/25, 15:33:00, 1695666780033,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      55,
Lamps:,        #10000,
Gain:,             10,      50, 
SNR_raw:,      93.55,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     19.870,
    1,        0.8,    318.768,      20.611,     20.476,
    2,        3.3,    360.168,      21.153,     21.144,
    3,        5.8,    360.573,      21.632,     21.796,
    4,        8.3,    360.732,      22.260,     22.425,
    5,       10.8,    360.764,      23.090,     23.028,
    6,       13.3,    361.058,      23.570,     23.601,
    7,       15.8,    361.233,      24.056,     24.143,
    8,       18.3,    361.138,      24.700,     24.653,
    9,       20.8,    361.233,      25.302,     25.132,
   10,       23.3,    361.257,      25.854,     25.580,
   11,       25.8,    361.344,      26.208,     25.997,
   12,       28.3,    361.368,      26.455,     26.385,
   13,       30.8,    361.344,      27.121,     26.745,
   14,       33.3,    361.344,      27.176,     27.078,
   15,       35.8,    361.829,      27.665,     27.386,
   16,       38.3,    361.718,      27.812,     27.670,
   17,       40.8,    361.797,      28.110,     27.932,
   18,       43.3,    361.853,      28.216,     28.174,
   19,       45.8,    362.004,      28.315,     28.396,
   20,       48.3,    361.988,      28.509,     28.600,
   21,       50.8,    362.227,      28.767,     28.787,
   22,       53.3,    362.266,      29.012,     28.958,
   23,       55.8,    362.258,      28.985,     29.116,
   24,       58.3,    362.314,      29.256,     29.260,
   25,       60.8,    362.322,      29.228,     29.392,
   26,       63.3,    362.203,      29.376,     29.514,
   27,       65.8,    362.402,      29.415,     29.624,
   28,       68.3,    362.266,      29.674,     29.726,
   29,       70.8,    362.362,      29.694,     29.818,
