----,
DateTime:        , 2023/09/25, 15:48:47, 1695667727200,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          169.80,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,             10,      50, 
SNR_raw:,      93.39,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     14.104,
    1,        0.8,    319.823,      15.102,     14.850,
    2,        3.3,    360.595,      15.814,     15.637,
    3,        5.8,    361.180,      16.446,     16.371,
    4,        8.3,    361.623,      16.979,     17.054,
    5,       10.8,    361.591,      17.727,     17.689,
    6,       13.3,    361.710,      18.302,     18.278,
    7,       15.8,    361.828,      18.959,     18.824,
    8,       18.3,    361.828,      19.512,     19.330,
    9,       20.8,    361.947,      20.058,     19.799,
   10,       23.3,    361.971,      20.526,     20.231,
   11,       25.8,    362.058,      20.825,     20.632,
   12,       28.3,    362.073,      21.294,     21.001,
   13,       30.8,    362.176,      21.619,     21.342,
   14,       33.3,    362.508,      21.847,     21.656,
   15,       35.8,    362.358,      22.298,     21.945,
   16,       38.3,    362.200,      22.253,     22.212,
   17,       40.8,    362.501,      22.538,     22.458,
   18,       43.3,    362.595,      22.697,     22.684,
   19,       45.8,    362.651,      22.969,     22.892,
   20,       48.3,    362.912,      23.146,     23.083,
   21,       50.8,    362.682,      23.409,     23.258,
   22,       53.3,    362.951,      23.446,     23.420,
   23,       55.8,    362.912,      23.421,     23.568,
   24,       58.3,    362.809,      23.786,     23.704,
   25,       60.8,    362.928,      23.806,     23.829,
   26,       63.3,    363.196,      23.871,     23.943,
   27,       65.8,    362.967,      24.051,     24.048,
   28,       68.3,    363.173,      23.955,     24.145,
   29,       70.8,    363.109,      24.042,     24.233,
