----,
DateTime:        , 2023/09/26, 15:56:05, 1695754565600,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -1232.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,     342.06,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    928.716,
    1,        0.8,    238.032,     995.082,    984.393,
    2,        3.3,    270.734,    1073.697,   1061.751,
    3,        5.8,    270.979,    1142.753,   1145.543,
    4,        8.3,    270.963,    1217.555,   1229.186,
    5,       10.8,    271.273,    1292.837,   1309.505,
    6,       13.3,    271.077,    1370.503,   1385.028,
    7,       15.8,    271.322,    1444.268,   1455.237,
    8,       18.3,    271.469,    1514.580,   1520.084,
    9,       20.8,    271.502,    1579.222,   1579.743,
   10,       23.3,    271.420,    1638.094,   1634.491,
   11,       25.8,    271.436,    1692.336,   1684.648,
   12,       28.3,    271.633,    1741.918,   1730.545,
   13,       30.8,    271.927,    1785.635,   1772.520,
   14,       33.3,    271.894,    1824.099,   1810.918,
   15,       35.8,    271.861,    1859.631,   1846.017,
   16,       38.3,    271.959,    1890.031,   1878.071,
   17,       40.8,    271.894,    1918.070,   1907.357,
   18,       43.3,    271.812,    1942.560,   1934.102,
   19,       45.8,    271.927,    1966.382,   1958.496,
   20,       48.3,    271.829,    1984.749,   1980.774,
   21,       50.8,    272.008,    2005.312,   2001.076,
   22,       53.3,    271.992,    2020.874,   2019.610,
   23,       55.8,    271.959,    2037.296,   2036.527,
   24,       58.3,    271.992,    2052.309,   2051.952,
   25,       60.8,    272.303,    2063.005,   2065.976,
   26,       63.3,    272.335,    2074.324,   2078.783,
   27,       65.8,    272.254,    2085.415,   2090.490,
