Source DataFile                                             ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_10C_RLC_data.csv , 2023/09/26, 17:38:49,    1695760729168,--Not Acquired--     ,--Not Acquired--     , -1226.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     2.5157,     0.9728,    330.84,    746.35,   1889.79,    0.6051,    0.0570,      1109,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_10C_RLC_data.csv , 2023/09/26, 17:38:59,    1695760739659,--Not Acquired--     ,--Not Acquired--     , -1209.00,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1609,     0.9793,    352.73,    921.71,   1769.52,    0.4791,    0.1760,      1063,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_10C_RLC_data.csv , 2023/09/26, 17:39:01,    1695760741147,--Not Acquired--     ,--Not Acquired--     , -1237.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1724,     0.9811,    369.21,    848.13,   1734.57,    0.5110,    0.2240,       992,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_10C_RLC_data.csv , 2023/09/26, 17:39:11,    1695760751644,--Not Acquired--     ,--Not Acquired--     , -1215.00,     0.0000,      0.0000,  NO DATA,    '10000,     30.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1006,     0.9704,    328.10,   1016.13,   1808.46,    0.4381,    0.0220,      1095,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_10C_RLC_data.csv , 2023/09/26, 17:39:13,    1695760753154,--Not Acquired--     ,--Not Acquired--     , -1233.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1915,     0.9780,    361.94,    896.49,   1769.09,    0.4932,    0.1030,      1082,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_10C_RLC_data.csv , 2023/09/26, 17:39:23,    1695760763673,--Not Acquired--     ,--Not Acquired--     , -1208.50,     0.0000,      0.0000,  NO DATA,    '10000,     50.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     4.2033,     0.9723,    307.68,   1295.52,   1918.37,    0.3247,    0.0000,      1559,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_10C_RLC_data.csv , 2023/09/26, 17:39:25,    1695760765158,--Not Acquired--     ,--Not Acquired--     , -1239.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     5.2342,     0.9850,    363.42,   1070.69,   1895.83,    0.4352,    0.0000,      2224,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_10C_RLC_data.csv , 2023/09/26, 17:39:35,    1695760775651,--Not Acquired--     ,--Not Acquired--     , -1177.00,     0.0000,      0.0000,  NO DATA,    '10000,    100.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     2.6155,     0.9472,    246.73,   1712.65,   2091.24,    0.1810,    0.0000,      1172,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_10C_RLC_data.csv , 2023/09/26, 17:39:37,    1695760777160,--Not Acquired--     ,--Not Acquired--     , -1237.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     7.9230,     0.9920,    409.83,   1195.68,   1972.40,    0.3938,    0.0000,      3650,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_10C_RLC_data.csv , 2023/09/26, 17:39:47,    1695760787684,--Not Acquired--     ,--Not Acquired--     , -1161.00,     0.0000,      0.0000,  NO DATA,    '10000,    120.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     2.1222,     0.9347,    228.64,   1734.78,   2106.15,    0.1763,    0.0000,      1045,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_10C_RLC_data.csv , 2023/09/26, 17:39:49,    1695760789190,--Not Acquired--     ,--Not Acquired--     , -1232.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     7.0002,     0.9911,    403.47,   1181.45,   1972.47,    0.4010,    0.0000,      3312,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_10C_RLC_data.csv , 2023/09/26, 17:39:59,    1695760799690,--Not Acquired--     ,--Not Acquired--     , -1138.00,     0.0000,      0.0000,  NO DATA,    '10000,    150.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.7443,     0.8985,    186.12,   1772.90,   2117.52,    0.1627,    0.0000,       946,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_10C_RLC_data.csv , 2023/09/26, 17:40:01,    1695760801192,--Not Acquired--     ,--Not Acquired--     , -1241.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     7.1955,     0.9907,    399.97,   1167.20,   1949.93,    0.4014,    0.0000,      3209,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_10C_RLC_data.csv , 2023/09/26, 17:40:11,    1695760811701,--Not Acquired--     ,--Not Acquired--     , -1097.00,     0.0000,      0.0000,  NO DATA,    '10000,    200.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     1.5888,     0.8708,    163.78,   1817.06,   2098.43,    0.1341,    0.0000,       909,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_10C_RLC_data.csv , 2023/09/26, 17:40:13,    1695760813181,--Not Acquired--     ,--Not Acquired--     , -1240.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     7.3551,     0.9902,    396.72,   1154.73,   1913.01,    0.3964,    0.0000,      3053,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_10C_RLC_data.csv , 2023/09/26, 17:40:23,    1695760823670,--Not Acquired--     ,--Not Acquired--     ,  -988.00,     0.0000,      0.0000,  NO DATA,    '10000,    300.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.7725,     0.7822,    110.92,   1853.69,   2053.01,    0.0971,    0.0000,      1508,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_10C_RLC_data.csv , 2023/09/26, 17:40:25,    1695760825153,--Not Acquired--     ,--Not Acquired--     , -1241.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,    13.9253,     0.9875,    387.94,   1110.31,   1843.39,    0.3977,    0.0000,      2334,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_10C_RLC_data.csv , 2023/09/26, 17:40:35,    1695760835654,--Not Acquired--     ,--Not Acquired--     ,  -884.50,     0.0000,      0.0000,  NO DATA,    '10000,    400.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.5366,     0.7380,     97.49,   1763.86,   1921.01,    0.0818,    0.0000,      1387,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_10C_RLC_data.csv , 2023/09/26, 17:40:37,    1695760837164,--Not Acquired--     ,--Not Acquired--     , -1251.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,    16.8071,     0.9846,    358.99,   1056.41,   1713.97,    0.3836,    0.0000,      2238,    1.0000,
