Source DataFile                                            ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
-----------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_6C_RLC_data.csv , 2023/09/26, 12:04:20,    1695740660094,--Not Acquired--     ,--Not Acquired--     ,   156.70,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.4559,     0.9715,    391.01,    266.85,    582.26,    0.5417,    0.1610,      1633,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_6C_RLC_data.csv , 2023/09/26, 12:04:34,    1695740673789,--Not Acquired--     ,--Not Acquired--     ,   158.70,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.0942,     0.9586,    362.67,    311.46,    586.23,    0.4687,    0.0710,      1657,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_6C_RLC_data.csv , 2023/09/26, 12:04:38,    1695740678527,--Not Acquired--     ,--Not Acquired--     ,   156.70,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2862,     0.9703,    397.04,    272.28,    571.91,    0.5239,    0.1490,      1492,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_6C_RLC_data.csv , 2023/09/26, 12:04:52,    1695740692240,--Not Acquired--     ,--Not Acquired--     ,   157.80,     0.0000,      0.0000,  NO DATA,    '10000,     30.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.8525,     0.9554,    359.18,    378.50,    608.49,    0.3780,    0.0000,      2009,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_6C_RLC_data.csv , 2023/09/26, 12:04:57,    1695740696983,--Not Acquired--     ,--Not Acquired--     ,   157.40,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.8651,     0.9682,    399.50,    304.38,    601.29,    0.4938,    0.0000,      2380,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_6C_RLC_data.csv , 2023/09/26, 12:05:10,    1695740710691,--Not Acquired--     ,--Not Acquired--     ,   162.60,     0.0000,      0.0000,  NO DATA,    '10000,     50.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     1.1634,     0.9639,    370.22,    462.05,    632.67,    0.2697,    0.0000,      2982,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_6C_RLC_data.csv , 2023/09/26, 12:05:15,    1695740715453,--Not Acquired--     ,--Not Acquired--     ,   155.20,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.8169,     0.9742,    421.95,    311.15,    608.87,    0.4890,    0.0000,      2781,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_6C_RLC_data.csv , 2023/09/26, 12:05:29,    1695740729175,--Not Acquired--     ,--Not Acquired--     ,   173.10,     0.0000,      0.0000,  NO DATA,    '10000,    100.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.3621,     0.9809,    383.90,    596.42,    672.29,    0.1129,    0.0000,     24582,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_6C_RLC_data.csv , 2023/09/26, 12:05:34,    1695740733943,--Not Acquired--     ,--Not Acquired--     ,   154.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.5958,     0.9722,    411.02,    312.72,    615.26,    0.4917,    0.0000,      2750,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_6C_RLC_data.csv , 2023/09/26, 12:05:47,    1695740747670,--Not Acquired--     ,--Not Acquired--     ,   174.40,     0.0000,      0.0000,  NO DATA,    '10000,    120.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.3753,     0.9794,    377.35,    607.86,    676.48,    0.1014,    0.0000,     22877,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_6C_RLC_data.csv , 2023/09/26, 12:05:52,    1695740752447,--Not Acquired--     ,--Not Acquired--     ,   154.20,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.5013,     0.9718,    401.09,    312.09,    615.76,    0.4932,    0.0000,      3160,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_6C_RLC_data.csv , 2023/09/26, 12:06:06,    1695740766129,--Not Acquired--     ,--Not Acquired--     ,   183.90,     0.0000,      0.0000,  NO DATA,    '10000,    150.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.2654,     0.9859,    402.00,    622.49,    679.05,    0.0833,    0.0000,     37140,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\20230926_SeGu1001_6C_RLC_data.csv , 2023/09/26, 12:06:11,    1695740770927,--Not Acquired--     ,--Not Acquired--     ,   154.10,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.6830,     0.9706,    400.94,    312.53,    612.37,    0.4896,    0.0000,      2820,    1.0000,
