Source DataFile                                                      ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
---------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1008_10C_RLC_data.csv , 2023/09/26, 17:04:15,    1695758655181,--Not Acquired--     ,--Not Acquired--     , -1276.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     2.1314,     0.9725,    314.73,    516.51,   1373.50,    0.6239,    0.1100,      1096,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1008_10C_RLC_data.csv , 2023/09/26, 17:04:25,    1695758665675,--Not Acquired--     ,--Not Acquired--     , -1269.00,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1546,     0.9792,    333.94,    618.29,   1266.94,    0.5120,    0.2190,      1070,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1008_10C_RLC_data.csv , 2023/09/26, 17:04:27,    1695758667164,--Not Acquired--     ,--Not Acquired--     , -1284.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.1674,     0.9808,    349.29,    565.03,   1242.09,    0.5451,    0.2690,       980,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1008_10C_RLC_data.csv , 2023/09/26, 17:04:37,    1695758677680,--Not Acquired--     ,--Not Acquired--     , -1271.50,     0.0000,      0.0000,  NO DATA,    '10000,     30.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0963,     0.9751,    325.75,    655.63,   1277.77,    0.4869,    0.1440,      1065,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1008_10C_RLC_data.csv , 2023/09/26, 17:04:39,    1695758679161,--Not Acquired--     ,--Not Acquired--     , -1262.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.1095,     0.9805,    352.39,    585.52,   1240.81,    0.5281,    0.2390,      1005,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1008_10C_RLC_data.csv , 2023/09/26, 17:04:49,    1695758689655,--Not Acquired--     ,--Not Acquired--     , -1238.00,     0.0000,      0.0000,  NO DATA,    '10000,     50.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     2.2677,     0.9697,    304.69,    851.25,   1377.96,    0.3822,    0.0000,      1391,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1008_10C_RLC_data.csv , 2023/09/26, 17:04:51,    1695758691144,--Not Acquired--     ,--Not Acquired--     , -1271.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     6.9118,     0.9804,    334.97,    743.46,   1386.31,    0.4637,    0.0000,      1978,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1008_10C_RLC_data.csv , 2023/09/26, 17:05:01,    1695758701668,--Not Acquired--     ,--Not Acquired--     , -1211.50,     0.0000,      0.0000,  NO DATA,    '10000,    100.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.7909,     0.9765,    322.42,   1156.53,   1476.34,    0.2166,    0.0000,      1713,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1008_10C_RLC_data.csv , 2023/09/26, 17:05:03,    1695758703180,--Not Acquired--     ,--Not Acquired--     , -1263.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,    12.2186,     0.9946,    410.47,    855.72,   1452.61,    0.4109,    0.0000,      6671,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1008_10C_RLC_data.csv , 2023/09/26, 17:05:13,    1695758713687,--Not Acquired--     ,--Not Acquired--     , -1199.00,     0.0000,      0.0000,  NO DATA,    '10000,    120.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.6820,     0.9760,    318.09,   1193.24,   1491.54,    0.2000,    0.0000,      1744,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1008_10C_RLC_data.csv , 2023/09/26, 17:05:15,    1695758715207,--Not Acquired--     ,--Not Acquired--     , -1269.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,    11.8404,     0.9953,    405.50,    871.74,   1465.64,    0.4052,    0.0000,      9387,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1008_10C_RLC_data.csv , 2023/09/26, 17:05:25,    1695758725725,--Not Acquired--     ,--Not Acquired--     , -1184.50,     0.0000,      0.0000,  NO DATA,    '10000,    150.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.4984,     0.9541,    258.71,   1243.20,   1518.63,    0.1814,    0.0000,      1264,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1008_10C_RLC_data.csv , 2023/09/26, 17:05:27,    1695758727234,--Not Acquired--     ,--Not Acquired--     , -1267.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,    14.3768,     0.9958,    408.73,    886.56,   1463.94,    0.3944,    0.0000,     11176,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1008_10C_RLC_data.csv , 2023/09/26, 17:05:37,    1695758737733,--Not Acquired--     ,--Not Acquired--     , -1144.50,     0.0000,      0.0000,  NO DATA,    '10000,    200.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.2949,     0.8936,    183.32,   1300.07,   1545.34,    0.1587,    0.0000,       898,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1008_10C_RLC_data.csv , 2023/09/26, 17:05:39,    1695758739243,--Not Acquired--     ,--Not Acquired--     , -1265.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,    11.3676,     0.9957,    415.24,    896.62,   1449.25,    0.3813,    0.0000,      9584,    1.0000,
C:\LIFT\DATA\LOW\Takuvik\DecayRef\20230926_SeGu1008_10C_RLC_data.csv , 2023/09/26, 17:05:49,    1695758749724,--Not Acquired--     ,--Not Acquired--     , -1072.00,     0.0000,      0.0000,  NO DATA,    '10000,    300.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.8990,     0.8429,    145.08,   1351.44,   1528.94,    0.1161,    0.0000,       932,    1.0000,
