----,
DateTime:        , 2023/09/26, 10:38:08, 1695735488058,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          -77.64,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,             50,     100, 
SNR_raw:,     174.68,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     29.279,
    1,        0.8,    240.277,      30.572,     30.602,
    2,        3.3,    271.581,      32.297,     32.070,
    3,        5.8,    271.581,      33.823,     33.484,
    4,        8.3,    271.581,      35.163,     34.817,
    5,       10.8,    271.581,      36.194,     36.058,
    6,       13.3,    271.581,      37.203,     37.202,
    7,       15.8,    271.581,      38.352,     38.250,
    8,       18.3,    271.581,      39.169,     39.206,
    9,       20.8,    271.581,      40.105,     40.076,
   10,       23.3,    271.581,      40.959,     40.865,
   11,       25.8,    271.581,      41.887,     41.579,
   12,       28.3,    271.581,      42.343,     42.226,
   13,       30.8,    271.581,      43.094,     42.811,
   14,       33.3,    271.581,      43.477,     43.340,
   15,       35.8,    271.581,      43.963,     43.817,
   16,       38.3,    271.581,      44.361,     44.248,
   17,       40.8,    271.581,      44.877,     44.637,
   18,       43.3,    271.581,      45.149,     44.988,
   19,       45.8,    271.581,      45.296,     45.305,
   20,       48.3,    271.581,      45.657,     45.591,
   21,       50.8,    271.581,      45.701,     45.849,
   22,       53.3,    271.581,      45.996,     46.082,
   23,       55.8,    271.581,      46.106,     46.292,
   24,       58.3,    271.581,      46.423,     46.482,
   25,       60.8,    271.581,      46.438,     46.653,
   26,       63.3,    271.581,      46.880,     46.807,
   27,       65.8,    271.581,      46.806,     46.947,
   28,       68.3,    271.581,      47.079,     47.072,
   29,       70.8,    271.581,      47.093,     47.186,
