Source DataFile                                                        ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
-----------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Takuvik20230927\RLC\20230927_SeGu1001_0C_RLC_data.csv , 2023/09/27, 13:22:44,    1695831764512,--Not Acquired--     ,--Not Acquired--     ,   -54.40,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     1.3399,     0.9721,    211.66,    230.90,    572.03,    0.5963,    0.0000,      2299,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\RLC\20230927_SeGu1001_0C_RLC_data.csv , 2023/09/27, 13:22:55,    1695831775011,--Not Acquired--     ,--Not Acquired--     ,   -50.40,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3782,     0.9689,    205.22,    274.12,    550.72,    0.5023,    0.0000,      2161,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\RLC\20230927_SeGu1001_0C_RLC_data.csv , 2023/09/27, 13:22:56,    1695831776538,--Not Acquired--     ,--Not Acquired--     ,   -55.20,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.3811,     0.9711,    214.87,    250.90,    542.64,    0.5376,    0.0000,      1970,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\RLC\20230927_SeGu1001_0C_RLC_data.csv , 2023/09/27, 13:23:07,    1695831787039,--Not Acquired--     ,--Not Acquired--     ,   -47.00,     0.0000,      0.0000,  NO DATA,    '10000,     30.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3224,     0.9649,    197.78,    294.03,    547.37,    0.4628,    0.0000,      2020,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\RLC\20230927_SeGu1001_0C_RLC_data.csv , 2023/09/27, 13:23:08,    1695831788559,--Not Acquired--     ,--Not Acquired--     ,   -50.60,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.2599,     0.9706,    217.75,    258.65,    534.91,    0.5165,    0.0000,      1774,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\RLC\20230927_SeGu1001_0C_RLC_data.csv , 2023/09/27, 13:23:19,    1695831799070,--Not Acquired--     ,--Not Acquired--     ,   -47.40,     0.0000,      0.0000,  NO DATA,    '10000,     50.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.0466,     0.9461,    166.76,    366.66,    569.61,    0.3563,    0.0000,      1958,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\RLC\20230927_SeGu1001_0C_RLC_data.csv , 2023/09/27, 13:23:20,    1695831800592,--Not Acquired--     ,--Not Acquired--     ,   -55.40,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     2.9244,     0.9687,    207.62,    285.95,    551.36,    0.4814,    0.0000,      1997,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\RLC\20230927_SeGu1001_0C_RLC_data.csv , 2023/09/27, 13:23:31,    1695831811116,--Not Acquired--     ,--Not Acquired--     ,   -43.80,     0.0000,      0.0000,  NO DATA,    '10000,    100.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.7795,     0.9047,    130.10,    506.88,    613.98,    0.1744,    0.0000,      1894,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\RLC\20230927_SeGu1001_0C_RLC_data.csv , 2023/09/27, 13:23:32,    1695831812603,--Not Acquired--     ,--Not Acquired--     ,   -57.80,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     6.0226,     0.9802,    239.25,    326.31,    571.78,    0.4293,    0.0000,      2405,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\RLC\20230927_SeGu1001_0C_RLC_data.csv , 2023/09/27, 13:23:43,    1695831823099,--Not Acquired--     ,--Not Acquired--     ,   -36.00,     0.0000,      0.0000,  NO DATA,    '10000,    120.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.9035,     0.9054,    128.86,    531.80,    623.97,    0.1477,    0.0000,      2188,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\RLC\20230927_SeGu1001_0C_RLC_data.csv , 2023/09/27, 13:23:44,    1695831824630,--Not Acquired--     ,--Not Acquired--     ,   -59.80,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     5.0316,     0.9857,    254.49,    332.07,    578.91,    0.4264,    0.0000,      3225,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\RLC\20230927_SeGu1001_0C_RLC_data.csv , 2023/09/27, 13:23:55,    1695831835125,--Not Acquired--     ,--Not Acquired--     ,   -34.00,     0.0000,      0.0000,  NO DATA,    '10000,    150.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.7946,     0.9102,    130.58,    553.73,    631.88,    0.1237,    0.0000,      2487,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\RLC\20230927_SeGu1001_0C_RLC_data.csv , 2023/09/27, 13:23:56,    1695831836628,--Not Acquired--     ,--Not Acquired--     ,   -60.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     4.5984,     0.9867,    258.10,    338.19,    584.12,    0.4210,    0.0000,      3464,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\RLC\20230927_SeGu1001_0C_RLC_data.csv , 2023/09/27, 13:24:07,    1695831847126,--Not Acquired--     ,--Not Acquired--     ,   -18.40,     0.0000,      0.0000,  NO DATA,    '10000,    200.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.5608,     0.8917,    118.67,    576.57,    639.41,    0.0983,    0.0000,      2795,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\RLC\20230927_SeGu1001_0C_RLC_data.csv , 2023/09/27, 13:24:08,    1695831848648,--Not Acquired--     ,--Not Acquired--     ,   -55.80,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     4.6593,     0.9871,    259.09,    344.91,    586.59,    0.4120,    0.0000,      3546,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\RLC\20230927_SeGu1001_0C_RLC_data.csv , 2023/09/27, 13:24:19,    1695831859155,--Not Acquired--     ,--Not Acquired--     ,    15.60,     0.0000,      0.0000,  NO DATA,    '10000,    300.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.2566,     0.8853,    117.25,    602.87,    645.65,    0.0663,    0.0000,      2223,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\RLC\20230927_SeGu1001_0C_RLC_data.csv , 2023/09/27, 13:24:20,    1695831860696,--Not Acquired--     ,--Not Acquired--     ,   -56.80,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     4.5792,     0.9867,    259.34,    350.88,    587.88,    0.4031,    0.0000,      3369,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\RLC\20230927_SeGu1001_0C_RLC_data.csv , 2023/09/27, 13:24:31,    1695831871220,--Not Acquired--     ,--Not Acquired--     ,    50.40,     0.0000,      0.0000,  NO DATA,    '10000,    400.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.2160,     0.8842,    122.14,    606.89,    639.92,    0.0516,    0.0000,      1402,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\RLC\20230927_SeGu1001_0C_RLC_data.csv , 2023/09/27, 13:24:32,    1695831872735,--Not Acquired--     ,--Not Acquired--     ,   -58.80,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     4.5145,     0.9867,    257.46,    353.10,    578.74,    0.3899,    0.0000,      3490,    1.0000,
