----,
DateTime:        , 2023/09/27, 15:04:21, 1695837861487,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          -58.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,              5,      50, 
SNR_raw:,     390.84,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    233.317,
    1,        0.8,    320.632,     245.612,    243.290,
    2,        3.3,    360.898,     260.120,    257.369,
    3,        5.8,    361.140,     273.000,    272.890,
    4,        8.3,    361.383,     287.427,    288.617,
    5,       10.8,    361.414,     302.399,    303.909,
    6,       13.3,    361.555,     317.272,    318.456,
    7,       15.8,    361.939,     331.082,    332.123,
    8,       18.3,    361.782,     345.156,    344.873,
    9,       20.8,    361.798,     357.634,    356.714,
   10,       23.3,    361.782,     369.259,    367.683,
   11,       25.8,    362.048,     380.257,    377.828,
   12,       28.3,    361.970,     390.008,    387.206,
   13,       30.8,    362.087,     399.217,    395.867,
   14,       33.3,    362.298,     407.154,    403.864,
   15,       35.8,    362.369,     414.305,    411.249,
   16,       38.3,    362.627,     420.573,    418.063,
   17,       40.8,    362.580,     426.585,    424.357,
   18,       43.3,    362.729,     432.200,    430.165,
   19,       45.8,    362.564,     437.139,    435.529,
   20,       48.3,    362.831,     441.504,    440.474,
   21,       50.8,    362.737,     446.030,    445.042,
   22,       53.3,    362.737,     449.613,    449.257,
   23,       55.8,    362.744,     452.802,    453.146,
   24,       58.3,    362.658,     456.273,    456.736,
   25,       60.8,    362.956,     459.261,    460.042,
   26,       63.3,    362.964,     462.006,    463.095,
   27,       65.8,    362.870,     464.495,    465.916,
   28,       68.3,    363.034,     466.985,    468.515,
   29,       70.8,    363.089,     469.228,    470.913,
