----,
DateTime:        , 2023/09/27, 14:38:21, 1695836301567,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          -56.80,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,              5,      50, 
SNR_raw:,     398.86,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    236.047,
    1,        0.8,    319.931,     247.491,    246.678,
    2,        3.3,    360.835,     263.179,    261.560,
    3,        5.8,    361.125,     277.078,    278.029,
    4,        8.3,    361.196,     292.583,    294.853,
    5,       10.8,    361.431,     309.326,    311.357,
    6,       13.3,    361.619,     325.812,    327.187,
    7,       15.8,    361.588,     341.604,    342.171,
    8,       18.3,    361.948,     356.293,    356.243,
    9,       20.8,    361.870,     370.685,    369.396,
   10,       23.3,    361.996,     383.761,    381.651,
   11,       25.8,    362.027,     395.827,    393.048,
   12,       28.3,    362.113,     407.055,    403.635,
   13,       30.8,    362.176,     417.366,    413.461,
   14,       33.3,    362.293,     426.284,    422.577,
   15,       35.8,    362.450,     434.542,    431.032,
   16,       38.3,    362.709,     442.007,    438.871,
   17,       40.8,    362.591,     448.604,    446.144,
   18,       43.3,    362.709,     454.910,    452.886,
   19,       45.8,    362.442,     460.652,    459.142,
   20,       48.3,    362.709,     466.214,    464.933,
   21,       50.8,    362.787,     470.578,    470.302,
   22,       53.3,    362.764,     475.019,    475.281,
   23,       55.8,    362.795,     479.113,    479.895,
   24,       58.3,    362.874,     482.757,    484.171,
   25,       60.8,    362.960,     486.500,    488.134,
   26,       63.3,    363.078,     489.482,    491.805,
   27,       65.8,    363.148,     492.967,    495.209,
   28,       68.3,    363.085,     495.696,    498.367,
   29,       70.8,    363.211,     498.608,    501.291,
