----,
DateTime:        , 2023/09/27, 13:54:51, 1695833691420,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      55,
Lamps:,        #10000,
Gain:,              5,      50, 
SNR_raw:,     490.33,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    217.969,
    1,        0.8,    318.697,     235.961,    233.102,
    2,        3.3,    360.052,     250.465,    249.790,
    3,        5.8,    360.358,     263.293,    265.975,
    4,        8.3,    360.728,     277.605,    281.543,
    5,       10.8,    360.815,     292.505,    296.409,
    6,       13.3,    360.964,     307.565,    310.535,
    7,       15.8,    361.121,     322.440,    323.907,
    8,       18.3,    361.003,     336.340,    336.517,
    9,       20.8,    361.114,     349.918,    348.385,
   10,       23.3,    361.059,     362.157,    359.528,
   11,       25.8,    361.263,     373.412,    369.978,
   12,       28.3,    361.365,     383.988,    379.764,
   13,       30.8,    361.515,     393.622,    388.919,
   14,       33.3,    361.979,     401.681,    397.480,
   15,       35.8,    361.822,     409.871,    405.473,
   16,       38.3,    362.010,     417.226,    412.935,
   17,       40.8,    361.987,     423.717,    419.896,
   18,       43.3,    362.089,     429.563,    426.388,
   19,       45.8,    362.058,     435.014,    432.440,
   20,       48.3,    362.168,     440.569,    438.081,
   21,       50.8,    361.940,     444.936,    443.336,
   22,       53.3,    362.239,     449.317,    448.232,
   23,       55.8,    362.026,     453.116,    452.793,
   24,       58.3,    362.183,     457.006,    457.041,
   25,       60.8,    362.262,     460.495,    460.997,
   26,       63.3,    362.270,     463.963,    464.680,
   27,       65.8,    362.325,     466.708,    468.110,
   28,       68.3,    362.364,     469.969,    471.304,
   29,       70.8,    362.498,     472.113,    474.277,
