Source DataFile                                                   ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_6C_2s_data.csv , 2023/09/27, 14:26:19,    1695835579419,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   201  ,    32.9798,     0.9790,    196.35,    224.92,    539.08,    0.5828,    0.0000,     30137,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_6C_2s_data.csv , 2023/09/27, 14:26:22,    1695835581977,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     7.8659,     0.9883,    223.04,    241.40,    513.15,    0.5296,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_6C_2s_data.csv , 2023/09/27, 14:26:24,    1695835584515,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     5.2270,     0.9913,    229.88,    244.38,    511.38,    0.5221,    0.0410, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_6C_2s_data.csv , 2023/09/27, 14:26:27,    1695835587084,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    12.6019,     0.9873,    218.99,    234.38,    525.64,    0.5541,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_6C_2s_data.csv , 2023/09/27, 14:26:29,    1695835589655,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   201  ,    25.7463,     0.9839,    210.82,    232.73,    532.71,    0.5631,    0.0000,     26517,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_6C_2s_data.csv , 2023/09/27, 14:26:32,    1695835592187,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   201  ,    17.7248,     0.9869,    217.18,    237.42,    523.58,    0.5465,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_6C_2s_data.csv , 2023/09/27, 14:26:34,    1695835594764,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     8.4143,     0.9878,    220.68,    240.86,    517.35,    0.5344,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_6C_2s_data.csv , 2023/09/27, 14:26:37,    1695835597365,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   201  ,    12.1274,     0.9874,    219.17,    237.66,    524.35,    0.5468,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_6C_2s_data.csv , 2023/09/27, 14:26:40,    1695835599943,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   201  ,    13.8078,     0.9866,    216.19,    236.01,    527.90,    0.5529,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_6C_2s_data.csv , 2023/09/27, 14:26:42,    1695835602507,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   201  ,    16.0668,     0.9861,    214.45,    239.11,    527.34,    0.5466,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_6C_2s_data.csv , 2023/09/27, 14:26:45,    1695835605071,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   201  ,    12.0172,     0.9869,    217.21,    240.06,    524.35,    0.5422,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_6C_2s_data.csv , 2023/09/27, 14:26:47,    1695835607644,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    13.6569,     0.9870,    217.85,    239.30,    525.59,    0.5447,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_6C_2s_data.csv , 2023/09/27, 14:26:50,    1695835610215,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   201  ,    16.1782,     0.9864,    215.39,    238.78,    527.35,    0.5472,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_6C_2s_data.csv , 2023/09/27, 14:26:52,    1695835612772,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   201  ,    18.4508,     0.9867,    216.35,    239.31,    527.49,    0.5463,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_6C_2s_data.csv , 2023/09/27, 14:26:55,    1695835615337,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    12.0530,     0.9867,    216.58,    239.73,    526.33,    0.5445,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_6C_2s_data.csv , 2023/09/27, 14:26:58,    1695835617925,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   201  ,    17.7157,     0.9864,    215.53,    240.58,    527.56,    0.5440,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1001_6C_2s_data.csv , 2023/09/27, 14:27:00,    1695835620500,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,    17.4801,     0.9865,    215.83,    240.53,    528.32,    0.5447,    0.0000, 1.000e+07,    1.0000,
