Source DataFile                                                     ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
--------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1008_10C_16s_data.csv , 2023/09/27, 10:15:36,    1695820536678,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,    19.2591,     0.9883,    316.72,    348.99,   1159.20,    0.6989,    0.0000,      9419,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1008_10C_16s_data.csv , 2023/09/27, 10:15:53,    1695820553255,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     3.4235,     0.9757,    337.49,    414.97,   1084.57,    0.6174,    0.1970,       917,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1008_10C_16s_data.csv , 2023/09/27, 10:16:10,    1695820569817,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     1.0195,     0.9707,    339.27,    425.20,   1064.50,    0.6006,    0.2660,       652,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1008_10C_16s_data.csv , 2023/09/27, 10:16:26,    1695820586349,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     3.3501,     0.9795,    341.57,    403.67,   1082.92,    0.6272,    0.1960,      1095,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1008_10C_16s_data.csv , 2023/09/27, 10:16:43,    1695820602893,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     7.0600,     0.9806,    339.83,    384.29,   1092.39,    0.6482,    0.1170,      1402,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1008_10C_16s_data.csv , 2023/09/27, 10:16:59,    1695820619422,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     3.6232,     0.9781,    338.53,    395.32,   1085.43,    0.6358,    0.1640,      1102,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1008_10C_16s_data.csv , 2023/09/27, 10:17:16,    1695820635976,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     3.0568,     0.9748,    339.92,    402.43,   1076.44,    0.6261,    0.1970,       870,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1008_10C_16s_data.csv , 2023/09/27, 10:17:32,    1695820652465,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     2.7512,     0.9804,    344.48,    406.60,   1078.80,    0.6231,    0.2190,      1085,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\20230927_SeGu1008_10C_16s_data.csv , 2023/09/27, 10:17:49,    1695820668970,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     2.6934,     0.9761,    341.19,    399.77,   1077.95,    0.6291,    0.1970,       918,    1.0000,
