Source DataFile                                                                      ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
-------------------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1001_10C_1s_DecayRef_data.csv , 2023/09/27, 15:02:51,    1695837771057,--Not Acquired--     ,--Not Acquired--     ,   -54.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     1.6220,     0.9568,    207.73,    228.63,    542.69,    0.5787,    0.0000,      1076,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1001_10C_1s_DecayRef_data.csv , 2023/09/27, 15:02:52,    1695837772563,--Not Acquired--     ,--Not Acquired--     ,   -52.20,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.1952,     0.9714,    233.40,    253.78,    501.53,    0.4940,    0.0890,      1122,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1001_10C_1s_DecayRef_data.csv , 2023/09/27, 15:02:54,    1695837774060,--Not Acquired--     ,--Not Acquired--     ,   -50.40,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1772,     0.9714,    236.97,    254.21,    499.41,    0.4910,    0.1150,      1020,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1001_10C_1s_DecayRef_data.csv , 2023/09/27, 15:02:55,    1695837775560,--Not Acquired--     ,--Not Acquired--     ,   -52.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.4345,     0.9639,    225.67,    245.18,    519.59,    0.5281,    0.0290,      1020,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1001_10C_1s_DecayRef_data.csv , 2023/09/27, 15:02:57,    1695837777035,--Not Acquired--     ,--Not Acquired--     ,   -55.80,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.4187,     0.9632,    222.99,    244.64,    519.71,    0.5293,    0.0170,      1061,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1001_10C_1s_DecayRef_data.csv , 2023/09/27, 15:02:58,    1695837778539,--Not Acquired--     ,--Not Acquired--     ,   -52.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.2805,     0.9671,    228.20,    249.82,    509.93,    0.5101,    0.0600,      1052,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1001_10C_1s_DecayRef_data.csv , 2023/09/27, 15:03:00,    1695837780039,--Not Acquired--     ,--Not Acquired--     ,   -54.80,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.3278,     0.9667,    229.68,    249.87,    510.76,    0.5108,    0.0510,      1041,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1001_10C_1s_DecayRef_data.csv , 2023/09/27, 15:03:01,    1695837781553,--Not Acquired--     ,--Not Acquired--     ,   -52.80,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.3323,     0.9646,    226.99,    247.03,    515.34,    0.5206,    0.0290,      1036,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1001_10C_1s_DecayRef_data.csv , 2023/09/27, 15:03:03,    1695837783040,--Not Acquired--     ,--Not Acquired--     ,   -55.40,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.3341,     0.9652,    226.43,    248.39,    515.23,    0.5179,    0.0380,      1046,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1001_10C_1s_DecayRef_data.csv , 2023/09/27, 15:03:04,    1695837784545,--Not Acquired--     ,--Not Acquired--     ,   -54.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.3339,     0.9655,    227.54,    248.49,    512.95,    0.5156,    0.0370,      1048,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1001_10C_1s_DecayRef_data.csv , 2023/09/27, 15:03:06,    1695837786036,--Not Acquired--     ,--Not Acquired--     ,   -52.80,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3479,     0.9651,    227.45,    248.60,    513.33,    0.5157,    0.0280,      1052,    1.0000,
