----,
DateTime:        , 2023/09/27, 12:48:02, 1695829682021,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          -43.40,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,              5,      50, 
SNR_raw:,     362.92,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    123.868,
    1,        0.8,    319.891,     135.627,    133.730,
    2,        3.3,    360.779,     145.496,    144.511,
    3,        5.8,    361.173,     154.236,    154.922,
    4,        8.3,    361.353,     163.513,    164.904,
    5,       10.8,    361.408,     172.453,    174.424,
    6,       13.3,    361.613,     181.205,    183.467,
    7,       15.8,    361.621,     190.548,    192.023,
    8,       18.3,    361.809,     199.624,    200.098,
    9,       20.8,    361.841,     208.395,    207.698,
   10,       23.3,    361.896,     216.101,    214.836,
   11,       25.8,    361.998,     223.719,    221.528,
   12,       28.3,    362.163,     229.913,    227.794,
   13,       30.8,    362.399,     236.386,    233.654,
   14,       33.3,    362.407,     241.734,    239.126,
   15,       35.8,    362.296,     246.886,    244.232,
   16,       38.3,    362.399,     251.397,    248.991,
   17,       40.8,    362.367,     255.448,    253.426,
   18,       43.3,    362.627,     259.236,    257.554,
   19,       45.8,    362.776,     262.603,    261.396,
   20,       48.3,    362.721,     265.951,    264.970,
   21,       50.8,    362.831,     268.681,    268.293,
   22,       53.3,    362.752,     271.276,    271.382,
   23,       55.8,    362.839,     273.857,    274.253,
   24,       58.3,    362.972,     276.236,    276.919,
   25,       60.8,    362.996,     278.366,    279.395,
   26,       63.3,    363.145,     280.675,    281.694,
   27,       65.8,    363.232,     282.260,    283.828,
   28,       68.3,    363.169,     284.292,    285.809,
   29,       70.8,    363.020,     286.117,    287.650,
