Source DataFile                                                                     ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
------------------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1008_6C_1s_DecayRef_data.csv , 2023/09/27, 11:19:03,    1695824343168,--Not Acquired--     ,--Not Acquired--     ,   -40.60,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.9383,     0.9647,    207.59,    122.42,    327.81,    0.6266,    0.0000,      1554,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1008_6C_1s_DecayRef_data.csv , 2023/09/27, 11:19:04,    1695824344656,--Not Acquired--     ,--Not Acquired--     ,   -39.80,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2403,     0.9708,    217.37,    139.20,    306.08,    0.5452,    0.0250,      1662,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1008_6C_1s_DecayRef_data.csv , 2023/09/27, 11:19:06,    1695824346177,--Not Acquired--     ,--Not Acquired--     ,   -41.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1822,     0.9702,    220.91,    139.75,    304.95,    0.5417,    0.0610,      1341,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1008_6C_1s_DecayRef_data.csv , 2023/09/27, 11:19:07,    1695824347673,--Not Acquired--     ,--Not Acquired--     ,   -42.20,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3476,     0.9653,    216.94,    134.66,    318.47,    0.5772,    0.0000,      1339,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1008_6C_1s_DecayRef_data.csv , 2023/09/27, 11:19:09,    1695824349172,--Not Acquired--     ,--Not Acquired--     ,   -42.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.4526,     0.9652,    212.85,    134.00,    319.57,    0.5807,    0.0000,      1435,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1008_6C_1s_DecayRef_data.csv , 2023/09/27, 11:19:10,    1695824350673,--Not Acquired--     ,--Not Acquired--     ,   -41.20,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2523,     0.9673,    214.26,    137.20,    311.73,    0.5599,    0.0100,      1511,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1008_6C_1s_DecayRef_data.csv , 2023/09/27, 11:19:12,    1695824352175,--Not Acquired--     ,--Not Acquired--     ,   -42.60,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2665,     0.9660,    217.11,    137.36,    311.95,    0.5597,    0.0090,      1347,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1008_6C_1s_DecayRef_data.csv , 2023/09/27, 11:19:13,    1695824353658,--Not Acquired--     ,--Not Acquired--     ,   -41.60,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2933,     0.9656,    216.17,    135.75,    315.41,    0.5696,    0.0000,      1377,    1.0000,
C:\LIFT\DATA\LOW\Takuvik20230927\DecayRef\20230927_SeGu1008_6C_1s_DecayRef_data.csv , 2023/09/27, 11:19:15,    1695824355166,--Not Acquired--     ,--Not Acquired--     ,   -46.60,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3285,     0.9659,    215.45,    136.65,    316.08,    0.5677,    0.0000,      1415,    1.0000,
