----,
DateTime:        , 2023/09/27, 13:22:44, 1695831764512,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          -54.40,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,              5,      50, 
SNR_raw:,     356.80,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    230.904,
    1,        0.8,    320.138,     242.625,    242.221,
    2,        3.3,    360.703,     258.520,    257.391,
    3,        5.8,    361.151,     272.610,    273.955,
    4,        8.3,    361.284,     289.006,    290.853,
    5,       10.8,    361.465,     305.627,    307.469,
    6,       13.3,    361.764,     322.623,    323.455,
    7,       15.8,    361.772,     338.925,    338.626,
    8,       18.3,    361.834,     354.619,    352.899,
    9,       20.8,    361.897,     368.816,    366.251,
   10,       23.3,    361.842,     382.137,    378.695,
   11,       25.8,    361.921,     394.654,    390.264,
   12,       28.3,    361.889,     405.575,    401.001,
   13,       30.8,    362.345,     415.166,    410.952,
   14,       33.3,    362.259,     424.485,    420.176,
   15,       35.8,    362.494,     432.816,    428.715,
   16,       38.3,    362.541,     439.987,    436.621,
   17,       40.8,    362.628,     446.279,    443.937,
   18,       43.3,    362.706,     452.579,    450.708,
   19,       45.8,    362.628,     458.303,    456.974,
   20,       48.3,    362.887,     462.936,    462.767,
   21,       50.8,    362.801,     468.062,    468.129,
   22,       53.3,    362.895,     472.625,    473.087,
   23,       55.8,    362.981,     476.535,    477.672,
   24,       58.3,    362.848,     480.293,    481.917,
   25,       60.8,    362.895,     483.648,    485.842,
   26,       63.3,    362.950,     486.550,    489.471,
   27,       65.8,    363.131,     489.613,    492.823,
   28,       68.3,    363.052,     492.583,    495.927,
   29,       70.8,    363.036,     495.028,    498.799,
