----,
DateTime:        , 2023/09/11, 10:52:45, 1694440365142,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              2,      10, 
SNR_raw:,    1128.59,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    449.268,
    1,        0.8,    339.841,     528.923,    510.732,
    2,        3.3,    359.507,     587.371,    580.474,
    3,        5.8,    359.802,     642.576,    650.417,
    4,        8.3,    359.912,     701.004,    717.591,
    5,       10.8,    360.244,     762.678,    780.594,
    6,       13.3,    360.244,     824.303,    838.837,
    7,       15.8,    360.612,     884.192,    892.234,
    8,       18.3,    360.465,     940.037,    940.916,
    9,       20.8,    360.833,     990.348,    985.156,
   10,       23.3,    360.722,    1035.284,   1025.277,
   11,       25.8,    360.870,    1075.596,   1061.606,
   12,       28.3,    360.796,    1110.184,   1094.479,
   13,       30.8,    360.870,    1141.271,   1124.203,
   14,       33.3,    361.091,    1167.297,   1151.067,
   15,       35.8,    360.980,    1190.786,   1175.354,
   16,       38.3,    361.164,    1211.499,   1197.292,
   17,       40.8,    361.201,    1228.955,   1217.116,
   18,       43.3,    361.422,    1243.975,   1235.018,
   19,       45.8,    361.459,    1256.574,   1251.196,
   20,       48.3,    361.312,    1269.265,   1265.824,
   21,       50.8,    361.459,    1280.090,   1279.026,
   22,       53.3,    361.312,    1290.161,   1290.965,
   23,       55.8,    361.533,    1297.808,   1301.731,
   24,       58.3,    361.643,    1304.878,   1311.452,
   25,       60.8,    361.459,    1312.874,   1320.252,
   26,       63.3,    361.606,    1319.944,   1328.187,
   27,       65.8,    361.643,    1324.925,   1335.355,
   28,       68.3,    361.643,    1331.147,   1341.831,
