Source DataFile                                            ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
-----------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_14C_4S_data.csv , 2023/09/12, 15:39:01,    1694543941337,--Not Acquired--     ,-Not Acquired--      , -2890.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     3.9195,     0.9938,    216.04,    223.47,    653.94,    0.6583,    0.1710, 1.000e+07,    0.9449,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_14C_4S_data.csv , 2023/09/12, 15:39:06,    1694543946037,--Not Acquired--     ,-Not Acquired--      , -2890.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3457,     0.9899,    225.03,    261.50,    610.92,    0.5720,    0.3640,      2136,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_14C_4S_data.csv , 2023/09/12, 15:39:10,    1694543950751,--Not Acquired--     ,-Not Acquired--      , -2890.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.5441,     0.9761,    226.22,    251.59,    615.28,    0.5911,    0.3880,       759,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_14C_4S_data.csv , 2023/09/12, 15:39:15,    1694543955467,--Not Acquired--     ,-Not Acquired--      , -2910.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.9468,     0.9978,    227.77,    239.28,    640.00,    0.6261,    0.2890, 1.000e+07,    0.9998,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_14C_4S_data.csv , 2023/09/12, 15:39:20,    1694543960132,--Not Acquired--     ,-Not Acquired--      , -2880.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.9767,     0.9892,    225.21,    240.64,    628.57,    0.6172,    0.3080,      2384,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_14C_4S_data.csv , 2023/09/12, 15:39:25,    1694543964875,--Not Acquired--     ,-Not Acquired--      , -2920.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   201  ,     0.6739,     0.9893,    227.35,    249.91,    622.10,    0.5983,    0.3370,      2150,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_14C_4S_data.csv , 2023/09/12, 15:39:29,    1694543969572,--Not Acquired--     ,-Not Acquired--      , -2850.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   201  ,     0.8462,     0.9972,    230.82,    243.05,    623.07,    0.6099,    0.3130,     23874,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_14C_4S_data.csv , 2023/09/12, 15:39:34,    1694543974290,--Not Acquired--     ,-Not Acquired--      , -2870.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     1.1455,     0.9898,    228.43,    245.12,    626.85,    0.6090,    0.3360,      2240,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_14C_4S_data.csv , 2023/09/12, 15:39:39,    1694543979009,--Not Acquired--     ,-Not Acquired--      , -2930.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.6260,     0.9906,    228.62,    247.12,    626.73,    0.6057,    0.3280,      2560,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_14C_4S_data.csv , 2023/09/12, 15:39:43,    1694543983731,--Not Acquired--     ,-Not Acquired--      , -2890.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.6466,     0.9880,    228.05,    246.10,    623.27,    0.6051,    0.3450,      1798,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_14C_4S_data.csv , 2023/09/12, 15:39:48,    1694543988450,--Not Acquired--     ,-Not Acquired--      , -2880.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.8512,     0.9903,    227.78,    245.73,    624.72,    0.6067,    0.3220,      2527,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_14C_4S_data.csv , 2023/09/12, 15:39:53,    1694543993190,--Not Acquired--     ,-Not Acquired--      , -2950.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.8196,     0.9921,    229.56,    246.14,    627.33,    0.6076,    0.3230,      3250,    0.9999,
