Source DataFile                                                          ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Alp1PQ,    Tau1PQ,    Alp1QA,
-------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_05S_data.csv , 2023/09/12, 14:11:51,    1694538711732,--Not Acquired--     ,-Not Acquired--      , -2890.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,    11.6852,     0.9791,    256.10,    553.33,   2034.94,    0.7281,    0.0180,    0.0000,         0,    0.3646,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_05S_data.csv , 2023/09/12, 14:11:52,    1694538712736,--Not Acquired--     ,-Not Acquired--      , -2840.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2510,     0.9901,    283.38,    765.96,   1783.60,    0.5706,    0.3610,    0.0000,         0,    0.4888,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_05S_data.csv , 2023/09/12, 14:11:53,    1694538713761,--Not Acquired--     ,-Not Acquired--      , -2800.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     2.9505,     0.9918,    290.11,    764.77,   1734.48,    0.5591,    0.4570,    0.0000,         0,    0.9994,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_05S_data.csv , 2023/09/12, 14:11:54,    1694538714763,--Not Acquired--     ,-Not Acquired--      , -2850.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.7452,     0.9827,    296.25,    684.89,   1838.91,    0.6276,    0.3390,    0.0000,         0,    0.6749,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_05S_data.csv , 2023/09/12, 14:11:55,    1694538715768,--Not Acquired--     ,-Not Acquired--      , -2890.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     1.2012,     0.9830,    292.55,    680.00,   1821.27,    0.6266,    0.3230,    0.0000,         0,    0.6509,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_05S_data.csv , 2023/09/12, 14:11:56,    1694538716770,--Not Acquired--     ,-Not Acquired--      , -2770.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.4506,     0.9894,    289.14,    724.52,   1768.14,    0.5902,    0.3730,    0.0000,         0,    0.3946,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_05S_data.csv , 2023/09/12, 14:11:57,    1694538717800,--Not Acquired--     ,-Not Acquired--      , -2830.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5178,     0.9886,    292.26,    716.45,   1784.11,    0.5984,    0.3690,    0.0000,         0,    0.4814,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_05S_data.csv , 2023/09/12, 14:11:58,    1694538718801,--Not Acquired--     ,-Not Acquired--      , -2860.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5034,     0.9842,    296.48,    701.35,   1807.50,    0.6120,    0.3640,    0.0000,         0,    0.6356,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_05S_data.csv , 2023/09/12, 14:11:59,    1694538719802,--Not Acquired--     ,-Not Acquired--      , -2820.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5004,     0.9857,    293.41,    706.94,   1788.75,    0.6048,    0.3720,    0.0000,         0,    0.4764,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_05S_data.csv , 2023/09/12, 14:12:00,    1694538720808,--Not Acquired--     ,-Not Acquired--      , -2780.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5590,     0.9877,    292.45,    707.12,   1780.42,    0.6028,    0.3610,    0.0000,         0,    0.4872,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_05S_data.csv , 2023/09/12, 14:12:01,    1694538721808,--Not Acquired--     ,-Not Acquired--      , -2850.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.6644,     0.9863,    294.12,    703.26,   1790.40,    0.6072,    0.3660,    0.0000,         0,    0.5567,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_05S_data.csv , 2023/09/12, 14:12:03,    1694538722823,--Not Acquired--     ,-Not Acquired--      , -2860.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.4716,     0.9863,    294.29,    708.04,   1793.39,    0.6052,    0.3700,    0.0000,         0,    0.3113,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_05S_data.csv , 2023/09/12, 14:12:04,    1694538723828,--Not Acquired--     ,-Not Acquired--      , -2780.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.4680,     0.9865,    294.06,    707.37,   1787.24,    0.6042,    0.3700,    0.0000,         0,    0.5742,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_05S_data.csv , 2023/09/12, 14:12:05,    1694538724849,--Not Acquired--     ,-Not Acquired--      , -2830.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5216,     0.9857,    293.92,    703.06,   1789.77,    0.6072,    0.3610,    0.0000,         0,    0.5306,
