----,
DateTime:        , 2023/03/09, 12:14:54, 1678378494549,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,    1408.38,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,   1019.589,
    1,        0.8,    162.878,    1045.260,   1052.300,
    2,        3.3,    180.174,    1107.120,   1095.608,
    3,        5.8,    180.174,    1163.041,   1145.049,
    4,        8.3,    180.257,    1212.989,   1199.050,
    5,       10.8,    180.548,    1261.160,   1256.378,
    6,       13.3,    180.396,    1315.996,   1315.940,
    7,       15.8,    180.382,    1370.980,   1376.925,
    8,       18.3,    180.313,    1428.630,   1438.656,
    9,       20.8,    180.520,    1486.536,   1500.633,
   10,       23.3,    180.520,    1545.809,   1562.393,
   11,       25.8,    180.576,    1608.466,   1623.586,
   12,       28.3,    180.590,    1668.424,   1683.917,
   13,       30.8,    180.756,    1730.789,   1743.169,
   14,       33.3,    180.603,    1792.048,   1801.119,
   15,       35.8,    180.756,    1851.947,   1857.643,
   16,       38.3,    180.853,    1911.777,   1912.617,
   17,       40.8,    180.811,    1969.182,   1965.937,
   18,       43.3,    180.811,    2020.893,   2017.533,
   19,       45.8,    180.811,    2076.753,   2067.352,
   20,       48.3,    180.770,    2126.740,   2115.358,
   21,       50.8,    180.714,    2173.874,   2161.529,
   22,       53.3,    180.908,    2220.465,   2205.866,
   23,       55.8,    180.742,    2263.449,   2248.368,
   24,       58.3,    180.908,    2303.933,   2289.050,
   25,       60.8,    180.908,    2344.285,   2327.935,
   26,       63.3,    181.047,    2379.775,   2365.052,
   27,       65.8,    181.047,    2415.401,   2400.438,
