Source DataFile                                            ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,
-----------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:58:39,    1694440719309,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.6930,     0.9946,    287.40,    342.87,   1409.78,    0.7568,    0.0000,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:58:41,    1694440720926,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.2426,     0.9945,    355.61,    333.13,   1293.35,    0.7424,    0.2000,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:58:42,    1694440722444,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.3892,     0.9941,    355.33,    311.85,   1281.63,    0.7567,    0.2740,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:58:44,    1694440723945,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.3630,     0.9909,    359.10,    311.74,   1337.79,    0.7670,    0.1570,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:58:45,    1694440725453,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.3296,     0.9905,    351.42,    309.07,   1319.67,    0.7658,    0.2110,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:58:47,    1694440726949,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.3001,     0.9914,    372.51,    305.82,   1294.83,    0.7638,    0.1310,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:58:48,    1694440728458,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.3398,     0.9923,    364.94,    300.00,   1301.53,    0.7695,    0.2180,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:58:50,    1694440729961,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.2626,     0.9915,    369.14,    309.23,   1314.69,    0.7648,    0.1850,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:58:51,    1694440731473,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.3808,     0.9911,    364.92,    297.54,   1306.26,    0.7722,    0.1600,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:58:53,    1694440733008,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.4321,     0.9946,    353.16,    307.10,   1301.66,    0.7641,    0.2320,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:58:54,    1694440734499,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     0.3822,     0.9908,    364.55,    298.94,   1304.20,    0.7708,    0.2290,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:58:56,    1694440735998,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.2835,     0.9908,    365.94,    297.81,   1307.50,    0.7722,    0.1770,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:58:57,    1694440737505,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.2253,     0.9938,    360.20,    310.72,   1305.18,    0.7619,    0.2110,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:58:59,    1694440739023,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.3137,     0.9931,    358.77,    305.42,   1303.84,    0.7658,    0.2410,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:59:00,    1694440740527,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.3534,     0.9909,    365.13,    294.39,   1305.10,    0.7744,    0.1770,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:59:02,    1694440742052,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     0.5854,     0.9939,    350.34,    307.59,   1304.66,    0.7642,    0.2770,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:59:03,    1694440743564,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.5054,     0.9946,    349.04,    306.34,   1305.10,    0.7653,    0.2520,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:59:05,    1694440745065,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.2367,     0.9921,    367.26,    304.26,   1305.43,    0.7669,    0.2020,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:59:06,    1694440746560,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.3468,     0.9950,    356.11,    313.20,   1306.40,    0.7603,    0.2370,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:59:08,    1694440748065,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.3724,     0.9930,    359.24,    304.05,   1306.13,    0.7672,    0.2180,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:59:09,    1694440749601,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.2496,     0.9928,    368.19,    307.89,   1306.69,    0.7644,    0.1900,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:59:11,    1694440751093,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.3435,     0.9939,    358.75,    305.18,   1305.89,    0.7663,    0.2230,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:59:12,    1694440752600,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.4488,     0.9933,    352.24,    304.05,   1305.19,    0.7670,    0.2680,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:59:14,    1694440754104,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.3091,     0.9931,    365.74,    303.84,   1307.61,    0.7676,    0.1510,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:59:15,    1694440755619,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     0.4837,     0.9927,    369.40,    304.50,   1305.89,    0.7668,    0.1920,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:59:17,    1694440757130,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.2906,     0.9927,    370.69,    308.00,   1307.48,    0.7644,    0.1770,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:59:18,    1694440758635,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.2674,     0.9925,    368.94,    304.78,   1307.68,    0.7669,    0.1860,
C:\LIFT\DATA\LOW\NoDecay\20230911_NaOm1663_22C_1S_data.csv , 2023/09/11, 10:59:20,    1694440760137,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.4355,     0.9926,    362.67,    306.77,   1306.48,    0.7652,    0.2310,
