----,
DateTime:        , 2023/09/12, 15:45:18, 1694544318710,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,-Not Acquired--,
PIF:,        -1165.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      56,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,     217.50,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    224.407,
    1,        0.8,    338.800,     259.888,    245.939,
    2,        3.3,    359.698,     277.036,    268.884,
    3,        5.8,    360.026,     293.173,    291.663,
    4,        8.3,    360.294,     310.718,    314.020,
    5,       10.8,    360.145,     329.312,    335.743,
    6,       13.3,    360.458,     348.861,    356.713,
    7,       15.8,    360.846,     368.578,    376.833,
    8,       18.3,    360.861,     387.961,    396.017,
    9,       20.8,    360.936,     407.136,    414.226,
   10,       23.3,    361.130,     425.886,    431.442,
   11,       25.8,    361.174,     444.107,    447.655,
   12,       28.3,    361.219,     461.078,    462.874,
   13,       30.8,    361.189,     477.174,    477.118,
   14,       33.3,    361.219,     491.253,    490.415,
   15,       35.8,    361.473,     504.879,    502.804,
   16,       38.3,    361.607,     517.136,    514.318,
   17,       40.8,    361.577,     527.965,    524.997,
   18,       43.3,    361.831,     537.683,    534.887,
   19,       45.8,    361.786,     547.700,    544.029,
   20,       48.3,    361.831,     555.370,    552.467,
   21,       50.8,    361.786,     563.317,    560.244,
   22,       53.3,    361.890,     570.200,    567.404,
   23,       55.8,    361.801,     576.284,    573.989,
   24,       58.3,    361.890,     582.359,    580.037,
   25,       60.8,    361.965,     588.041,    585.588,
   26,       63.3,    361.831,     592.404,    590.679,
   27,       65.8,    361.950,     596.491,    595.343,
   28,       68.3,    362.248,     600.279,    599.612,
   29,       70.8,    362.114,     603.815,    603.520,
