Source DataFile                                                           ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Alp1PQ,    Tau1PQ,    Alp1QA,
--------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_025S_data.csv , 2023/09/12, 14:16:38,    1694538998489,--Not Acquired--     ,-Not Acquired--      , -2840.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     9.3960,     0.9785,    254.86,    545.57,   2032.19,    0.7315,    0.0110,    0.0000,         0,    0.3613,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_025S_data.csv , 2023/09/12, 14:16:39,    1694538999491,--Not Acquired--     ,-Not Acquired--      , -2840.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2868,     0.9911,    284.65,    763.84,   1778.08,    0.5704,    0.3620,    0.0000,         0,    0.3750,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_025S_data.csv , 2023/09/12, 14:16:40,    1694539000493,--Not Acquired--     ,-Not Acquired--      , -2840.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     9.2978,     0.9889,    296.10,    776.21,   1731.40,    0.5517,    0.4890,    0.0000,         0,    0.9989,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_025S_data.csv , 2023/09/12, 14:16:41,    1694539001491,--Not Acquired--     ,-Not Acquired--      , -2810.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.7868,     0.9830,    295.61,    680.30,   1834.90,    0.6292,    0.3340,    0.0000,         0,    0.6725,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_025S_data.csv , 2023/09/12, 14:16:42,    1694539002493,--Not Acquired--     ,-Not Acquired--      , -2890.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.9419,     0.9830,    293.57,    679.22,   1821.00,    0.6270,    0.3250,    0.0000,         0,    0.6500,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_025S_data.csv , 2023/09/12, 14:16:43,    1694539003493,--Not Acquired--     ,-Not Acquired--      , -2830.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.4881,     0.9892,    289.98,    721.62,   1768.08,    0.5919,    0.3680,    0.0000,         0,    0.2143,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_025S_data.csv , 2023/09/12, 14:16:44,    1694539004496,--Not Acquired--     ,-Not Acquired--      , -2790.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5846,     0.9887,    292.95,    705.94,   1781.13,    0.6037,    0.3620,    0.0000,         0,    0.4053,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_025S_data.csv , 2023/09/12, 14:16:45,    1694539005500,--Not Acquired--     ,-Not Acquired--      , -2840.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.6275,     0.9841,    296.22,    696.17,   1807.64,    0.6149,    0.3560,    0.0000,         0,    0.5705,
C:\LIFT\DATA\LOW\NoDecay\NoDecayRefit\20230912_NaOm1663_18C_025S_data.csv , 2023/09/12, 14:16:46,    1694539006504,--Not Acquired--     ,-Not Acquired--      , -2830.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.5277,     0.9859,    294.52,    706.38,   1789.52,    0.6053,    0.3710,    0.0000,         0,    0.3770,
