Source DataFile                                            ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
-----------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_2S_data.csv , 2023/09/12, 16:10:04,    1694545804022,--Not Acquired--     ,-Not Acquired--      , -1155.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     3.8164,     0.9943,    229.04,    229.17,    649.83,    0.6473,    0.1990,     16712,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_2S_data.csv , 2023/09/12, 16:10:06,    1694545806721,--Not Acquired--     ,-Not Acquired--      , -1140.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.7179,     0.9904,    245.65,    265.17,    607.95,    0.5638,    0.3650,      1871,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_2S_data.csv , 2023/09/12, 16:10:09,    1694545809473,--Not Acquired--     ,-Not Acquired--      , -1160.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.4386,     0.9808,    245.31,    257.11,    608.25,    0.5773,    0.3870,       854,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_2S_data.csv , 2023/09/12, 16:10:12,    1694545812169,--Not Acquired--     ,-Not Acquired--      , -1130.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.9009,     0.9815,    242.77,    246.85,    626.64,    0.6061,    0.3330,      1009,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_2S_data.csv , 2023/09/12, 16:10:15,    1694545814915,--Not Acquired--     ,-Not Acquired--      , -1150.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.8764,     0.9789,    242.75,    247.89,    620.48,    0.6005,    0.3370,       869,    0.9984,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_2S_data.csv , 2023/09/12, 16:10:17,    1694545817689,--Not Acquired--     ,-Not Acquired--      , -1150.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.4998,     0.9767,    245.74,    254.60,    612.27,    0.5842,    0.3840,       702,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_2S_data.csv , 2023/09/12, 16:10:20,    1694545820390,--Not Acquired--     ,-Not Acquired--      , -1165.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     1.0190,     0.9910,    248.35,    253.15,    617.48,    0.5900,    0.3520,      2057,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_2S_data.csv , 2023/09/12, 16:10:23,    1694545823123,--Not Acquired--     ,-Not Acquired--      , -1160.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     2.1806,     0.9959,    251.95,    249.11,    619.85,    0.5981,    0.3250,      5659,    0.9999,
C:\LIFT\DATA\LOW\NoDecay\20230912_NaOm1663_22C_2S_data.csv , 2023/09/12, 16:10:26,    1694545825855,--Not Acquired--     ,-Not Acquired--      , -1135.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   101  ,     0.8780,     0.9908,    247.90,    252.45,    616.93,    0.5908,    0.3500,      2033,    0.9999,
