Source DataFile                                        ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
-------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\20230912_NaOm1663_14C_1S_Ref_data.csv , 2023/09/12, 15:52:31,    1694544751509,--Not Acquired--     ,-Not Acquired--      , -1213.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2532,     0.9641,    216.78,    252.81,    707.96,    0.6429,    0.2960,       506,    0.8023,
C:\LIFT\DATA\LOW\20230912_NaOm1663_14C_1S_Ref_data.csv , 2023/09/12, 15:52:33,    1694544753175,--Not Acquired--     ,-Not Acquired--      , -1191.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0339,     0.9714,    228.21,    270.29,    655.46,    0.5876,    0.3980,       526,    0.8477,
C:\LIFT\DATA\LOW\20230912_NaOm1663_14C_1S_Ref_data.csv , 2023/09/12, 15:52:35,    1694544754842,--Not Acquired--     ,-Not Acquired--      , -1194.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0675,     0.9690,    230.83,    260.57,    668.97,    0.6105,    0.3760,       480,    0.8408,
C:\LIFT\DATA\LOW\20230912_NaOm1663_14C_1S_Ref_data.csv , 2023/09/12, 15:52:36,    1694544756455,--Not Acquired--     ,-Not Acquired--      , -1197.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0903,     0.9663,    223.78,    258.58,    685.97,    0.6230,    0.3520,       472,    0.8348,
C:\LIFT\DATA\LOW\20230912_NaOm1663_14C_1S_Ref_data.csv , 2023/09/12, 15:52:38,    1694544758133,--Not Acquired--     ,-Not Acquired--      , -1203.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0596,     0.9683,    227.46,    260.66,    667.47,    0.6095,    0.3650,       496,    0.8447,
C:\LIFT\DATA\LOW\20230912_NaOm1663_14C_1S_Ref_data.csv , 2023/09/12, 15:52:39,    1694544759761,--Not Acquired--     ,-Not Acquired--      , -1202.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0623,     0.9704,    230.56,    260.16,    665.40,    0.6090,    0.3810,       512,    0.8410,
C:\LIFT\DATA\LOW\20230912_NaOm1663_14C_1S_Ref_data.csv , 2023/09/12, 15:52:41,    1694544761429,--Not Acquired--     ,-Not Acquired--      , -1195.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0825,     0.9688,    227.56,    259.94,    671.97,    0.6132,    0.3700,       505,    0.8418,
C:\LIFT\DATA\LOW\20230912_NaOm1663_14C_1S_Ref_data.csv , 2023/09/12, 15:52:43,    1694544763128,--Not Acquired--     ,-Not Acquired--      , -1206.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0796,     0.9678,    228.34,    259.69,    671.68,    0.6134,    0.3630,       477,    0.8406,
C:\LIFT\DATA\LOW\20230912_NaOm1663_14C_1S_Ref_data.csv , 2023/09/12, 15:52:45,    1694544764841,--Not Acquired--     ,-Not Acquired--      , -1195.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0695,     0.9683,    228.67,    260.83,    669.53,    0.6104,    0.3640,       490,    0.8418,
