----,
DateTime:        , 2023/09/12, 15:19:14, 1694542754091,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,-Not Acquired--,
PIF:,        -2897.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,              1,      10, 
SNR_raw:,     225.67,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    537.709,
    1,        0.8,    337.497,     656.165,    623.039,
    2,        3.3,    359.832,     721.960,    711.241,
    3,        5.8,    360.059,     783.633,    795.928,
    4,        8.3,    360.590,     853.474,    876.656,
    5,       10.8,    360.742,     925.466,    953.020,
    6,       13.3,    361.045,    1001.964,   1024.877,
    7,       15.8,    361.121,    1076.244,   1092.110,
    8,       18.3,    361.424,    1147.278,   1154.772,
    9,       20.8,    361.500,    1215.087,   1212.898,
   10,       23.3,    361.197,    1278.677,   1266.561,
   11,       25.8,    361.500,    1332.653,   1316.015,
   12,       28.3,    361.690,    1381.168,   1361.432,
   13,       30.8,    361.879,    1423.829,   1403.018,
   14,       33.3,    361.690,    1461.623,   1440.956,
   15,       35.8,    362.031,    1493.944,   1475.531,
   16,       38.3,    362.107,    1524.009,   1506.947,
   17,       40.8,    362.145,    1548.702,   1535.431,
   18,       43.3,    362.221,    1570.463,   1561.211,
   19,       45.8,    362.448,    1589.067,   1584.513,
   20,       48.3,    362.296,    1606.569,   1605.522,
   21,       50.8,    362.334,    1622.132,   1624.447,
   22,       53.3,    362.334,    1635.655,   1641.471,
   23,       55.8,    362.145,    1649.766,   1656.761,
   24,       58.3,    362.562,    1660.004,   1670.502,
   25,       60.8,    362.334,    1670.982,   1682.818,
   26,       63.3,    362.372,    1680.742,   1693.857,
   27,       65.8,    362.562,    1688.413,   1703.748,
