----,
DateTime:        , 2023/09/18, 16:49:18, 1695066557966,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -2900.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      56,
Lamps:,        #10000,
Gain:,              1,       1, 
SNR_raw:,     147.56,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    135.899,
    1,        0.8,    516.425,     174.662,    162.869,
    2,        3.3,    540.138,     195.609,    191.534,
    3,        5.8,    539.762,     215.651,    219.374,
    4,        8.3,    539.386,     238.790,    245.589,
    5,       10.8,    539.762,     261.782,    269.820,
    6,       13.3,    542.020,     284.491,    291.974,
    7,       15.8,    543.150,     306.361,    312.048,
    8,       18.3,    542.397,     328.726,    330.120,
    9,       20.8,    543.150,     347.050,    346.330,
   10,       23.3,    541.268,     364.884,    360.831,
   11,       25.8,    543.150,     377.981,    373.766,
   12,       28.3,    542.773,     389.850,    385.306,
   13,       30.8,    543.902,     400.256,    395.580,
   14,       33.3,    542.020,     411.239,    404.750,
   15,       35.8,    543.526,     417.827,    412.888,
   16,       38.3,    542.020,     424.892,    420.151,
   17,       40.8,    543.902,     428.937,    426.579,
   18,       43.3,    543.902,     434.269,    432.303,
   19,       45.8,    542.020,     440.574,    437.428,
   20,       48.3,    542.397,     443.587,    441.969,
   21,       50.8,    543.902,     446.036,    445.977,
   22,       53.3,    542.773,     450.649,    449.569,
   23,       55.8,    542.397,     453.174,    452.767,
   24,       58.3,    542.020,     456.071,    455.614,
   25,       60.8,    542.397,     457.783,    458.133,
   26,       63.3,    541.268,     460.031,    460.395,
   27,       65.8,    542.773,     461.335,    462.367,
   28,       68.3,    542.773,     462.993,    464.125,
   29,       70.8,    543.902,     463.502,    465.665,
