Source DataFile                                           ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
----------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Chlamy\20230918_MaPo1002_12C_4s_data.csv , 2023/09/18, 16:45:19,    1695066319083,--Not Acquired--     ,--Not Acquired--     , -2880.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     2.6273,     0.9993,    223.75,    151.94,    529.26,    0.7129,    0.0750, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230918_MaPo1002_12C_4s_data.csv , 2023/09/18, 16:45:23,    1695066323665,--Not Acquired--     ,--Not Acquired--     , -2840.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3955,     0.9999,    238.89,    181.52,    496.79,    0.6346,    0.2670, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230918_MaPo1002_12C_4s_data.csv , 2023/09/18, 16:45:28,    1695066328232,--Not Acquired--     ,--Not Acquired--     , -2880.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3393,     1.0000,    237.98,    186.66,    482.14,    0.6129,    0.3310, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230918_MaPo1002_12C_4s_data.csv , 2023/09/18, 16:45:32,    1695066332782,--Not Acquired--     ,--Not Acquired--     , -2880.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3189,     1.0000,    240.85,    175.03,    484.60,    0.6388,    0.3300, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230918_MaPo1002_12C_4s_data.csv , 2023/09/18, 16:45:37,    1695066337312,--Not Acquired--     ,--Not Acquired--     , -2900.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3886,     0.9992,    237.32,    168.13,    485.64,    0.6538,    0.3230,     15992,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230918_MaPo1002_12C_4s_data.csv , 2023/09/18, 16:45:42,    1695066341825,--Not Acquired--     ,--Not Acquired--     , -2870.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3115,     0.9972,    238.81,    176.04,    481.67,    0.6345,    0.3420,      4054,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230918_MaPo1002_12C_4s_data.csv , 2023/09/18, 16:45:46,    1695066346299,--Not Acquired--     ,--Not Acquired--     , -2890.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3514,     1.0000,    240.02,    179.76,    484.16,    0.6287,    0.3310, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230918_MaPo1002_12C_4s_data.csv , 2023/09/18, 16:45:51,    1695066350851,--Not Acquired--     ,--Not Acquired--     , -2900.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3371,     0.9977,    243.42,    179.35,    485.72,    0.6308,    0.3560,      4827,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230918_MaPo1002_12C_4s_data.csv , 2023/09/18, 16:45:55,    1695066355351,--Not Acquired--     ,--Not Acquired--     , -2880.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.4298,     1.0000,    239.13,    174.02,    490.27,    0.6451,    0.3020, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230918_MaPo1002_12C_4s_data.csv , 2023/09/18, 16:46:00,    1695066359923,--Not Acquired--     ,--Not Acquired--     , -2890.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3420,     0.9982,    242.41,    178.41,    488.42,    0.6347,    0.3200,      6784,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230918_MaPo1002_12C_4s_data.csv , 2023/09/18, 16:46:04,    1695066364438,--Not Acquired--     ,--Not Acquired--     , -2880.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2975,     0.9967,    241.37,    179.44,    487.67,    0.6320,    0.3390,      3496,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230918_MaPo1002_12C_4s_data.csv , 2023/09/18, 16:46:09,    1695066368946,--Not Acquired--     ,--Not Acquired--     , -2920.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3453,     0.9966,    240.18,    177.76,    490.72,    0.6378,    0.3120,      3572,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230918_MaPo1002_12C_4s_data.csv , 2023/09/18, 16:46:13,    1695066373440,--Not Acquired--     ,--Not Acquired--     , -2900.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.4038,     1.0000,    242.54,    177.27,    488.41,    0.6370,    0.3270, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230918_MaPo1002_12C_4s_data.csv , 2023/09/18, 16:46:18,    1695066377995,--Not Acquired--     ,--Not Acquired--     , -2890.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3539,     0.9969,    241.13,    178.70,    486.77,    0.6329,    0.3420,      3621,    1.0000,
