----,
DateTime:        , 2023/09/18, 17:09:09, 1695067749553,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -2860.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      56,
Lamps:,        #10000,
Gain:,              1,       1, 
SNR_raw:,      98.68,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    141.336,
    1,        0.8,    516.386,     167.898,    163.687,
    2,        3.3,    538.279,     188.700,    187.515,
    3,        5.8,    539.789,     208.600,    211.300,
    4,        8.3,    540.167,     231.040,    234.398,
    5,       10.8,    540.544,     252.708,    256.320,
    6,       13.3,    539.412,     275.485,    276.652,
    7,       15.8,    540.922,     294.312,    295.222,
    8,       18.3,    540.544,     312.833,    311.851,
    9,       20.8,    541.299,     328.100,    326.533,
   10,       23.3,    539.412,     342.410,    339.285,
   11,       25.8,    540.922,     351.067,    350.266,
   12,       28.3,    541.299,     360.983,    359.611,
   13,       30.8,    541.677,     368.486,    367.493,
   14,       33.3,    541.677,     374.024,    374.089,
   15,       35.8,    541.677,     379.747,    379.573,
   16,       38.3,    543.187,     382.926,    384.103,
   17,       40.8,    542.432,     387.883,    387.835,
   18,       43.3,    543.564,     389.650,    390.889,
   19,       45.8,    543.187,     392.130,    393.388,
   20,       48.3,    542.809,     395.719,    395.429,
   21,       50.8,    543.187,     396.365,    397.086,
   22,       53.3,    541.677,     398.946,    398.447,
   23,       55.8,    543.942,     398.205,    399.529,
   24,       58.3,    542.809,     400.325,    400.418,
   25,       60.8,    543.187,     400.783,    401.134,
   26,       63.3,    542.809,     401.430,    401.717,
   27,       65.8,    542.432,     402.447,    402.193,
   28,       68.3,    542.809,     402.536,    402.573,
   29,       70.8,    543.187,     402.256,    402.876,
