Source DataFile                                       ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Chlamy\20230918_MaPo1003_2s_data.csv , 2023/09/18, 15:46:21,    1695062781647,--Not Acquired--     ,--Not Acquired--     , -2880.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     2.2971,     0.9993,    238.83,    126.22,    445.51,    0.7167,    0.0000, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230918_MaPo1003_2s_data.csv , 2023/09/18, 15:46:24,    1695062784216,--Not Acquired--     ,--Not Acquired--     , -2880.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3443,     0.9954,    245.60,    163.94,    422.24,    0.6117,    0.2200,      2962,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230918_MaPo1003_2s_data.csv , 2023/09/18, 15:46:26,    1695062786705,--Not Acquired--     ,--Not Acquired--     , -2880.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3560,     0.9956,    248.57,    162.88,    413.68,    0.6063,    0.2520,      2922,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230918_MaPo1003_2s_data.csv , 2023/09/18, 15:46:29,    1695062789209,--Not Acquired--     ,--Not Acquired--     , -2860.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3781,     0.9940,    250.07,    147.50,    417.36,    0.6466,    0.2350,      2145,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230918_MaPo1003_2s_data.csv , 2023/09/18, 15:46:31,    1695062791692,--Not Acquired--     ,--Not Acquired--     , -2870.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.5738,     0.9975,    247.49,    142.27,    414.80,    0.6570,    0.2180,      5623,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230918_MaPo1003_2s_data.csv , 2023/09/18, 15:46:34,    1695062794224,--Not Acquired--     ,--Not Acquired--     , -2920.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3162,     0.9933,    247.03,    151.02,    412.51,    0.6339,    0.2310,      1954,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230918_MaPo1003_2s_data.csv , 2023/09/18, 15:46:36,    1695062796734,--Not Acquired--     ,--Not Acquired--     , -2870.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3242,     0.9939,    246.36,    154.49,    408.78,    0.6221,    0.2590,      2079,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230918_MaPo1003_2s_data.csv , 2023/09/18, 15:46:39,    1695062799252,--Not Acquired--     ,--Not Acquired--     , -2940.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3594,     0.9919,    250.72,    148.01,    412.84,    0.6415,    0.2400,      1575,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230918_MaPo1003_2s_data.csv , 2023/09/18, 15:46:41,    1695062801741,--Not Acquired--     ,--Not Acquired--     , -2890.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3801,     0.9959,    252.58,    148.40,    411.78,    0.6396,    0.2560,      2991,    1.0000,
