----,
DateTime:        , 2023/09/19, 12:06:54, 1695136014651,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -1170.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      56,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,     153.18,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    133.511,
    1,        0.8,    509.211,     151.607,    148.955,
    2,        3.3,    539.550,     166.871,    166.188,
    3,        5.8,    540.101,     181.262,    183.507,
    4,        8.3,    540.354,     197.185,    200.280,
    5,       10.8,    540.488,     213.973,    216.126,
    6,       13.3,    540.786,     229.388,    230.840,
    7,       15.8,    541.278,     244.514,    244.330,
    8,       18.3,    541.427,     257.837,    256.573,
    9,       20.8,    541.665,     269.262,    267.600,
   10,       23.3,    541.918,     279.932,    277.471,
   11,       25.8,    541.948,     288.773,    286.264,
   12,       28.3,    542.037,     296.751,    294.065,
   13,       30.8,    542.424,     302.992,    300.959,
   14,       33.3,    542.424,     309.075,    307.039,
   15,       35.8,    542.529,     313.993,    312.387,
   16,       38.3,    542.588,     318.105,    317.083,
   17,       40.8,    542.707,     322.181,    321.197,
   18,       43.3,    542.693,     325.230,    324.799,
   19,       45.8,    542.693,     328.455,    327.948,
   20,       48.3,    542.722,     330.556,    330.698,
   21,       50.8,    542.871,     332.860,    333.095,
   22,       53.3,    542.976,     334.822,    335.184,
   23,       55.8,    543.095,     336.590,    337.004,
   24,       58.3,    543.154,     337.657,    338.588,
   25,       60.8,    543.229,     339.268,    339.966,
   26,       63.3,    543.229,     340.648,    341.166,
   27,       65.8,    543.065,     341.764,    342.213,
   28,       68.3,    543.005,     342.814,    343.123,
   29,       70.8,    543.199,     343.889,    343.912,
