Source DataFile                                          ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
---------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1002_8C_8s_data.csv , 2023/09/19, 13:54:48,    1695142488135,--Not Acquired--     ,--Not Acquired--     , -1175.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     2.4496,     0.9997,    239.80,    149.64,    430.30,    0.6522,    0.0990, 1.000e+07,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1002_8C_8s_data.csv , 2023/09/19, 13:54:56,    1695142496706,--Not Acquired--     ,--Not Acquired--     , -1170.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2159,     0.9951,    244.50,    166.82,    413.72,    0.5968,    0.2480,      2659,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1002_8C_8s_data.csv , 2023/09/19, 13:55:05,    1695142505197,--Not Acquired--     ,--Not Acquired--     , -1165.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1714,     0.9956,    247.33,    166.37,    406.63,    0.5909,    0.2660,      2831,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1002_8C_8s_data.csv , 2023/09/19, 13:55:13,    1695142513719,--Not Acquired--     ,--Not Acquired--     , -1155.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2889,     0.9955,    247.79,    159.09,    404.54,    0.6067,    0.2820,      2665,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1002_8C_8s_data.csv , 2023/09/19, 13:55:22,    1695142522209,--Not Acquired--     ,--Not Acquired--     , -1160.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.3239,     0.9963,    245.35,    156.96,    401.82,    0.6094,    0.2810,      3369,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1002_8C_8s_data.csv , 2023/09/19, 13:55:30,    1695142530691,--Not Acquired--     ,--Not Acquired--     , -1145.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.2538,     0.9940,    246.58,    159.69,    399.34,    0.6001,    0.2930,      1974,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1002_8C_8s_data.csv , 2023/09/19, 13:55:39,    1695142539187,--Not Acquired--     ,--Not Acquired--     , -1150.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1939,     0.9952,    247.26,    159.88,    399.45,    0.5997,    0.2880,      2517,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1002_8C_8s_data.csv , 2023/09/19, 13:55:47,    1695142547662,--Not Acquired--     ,--Not Acquired--     , -1160.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2426,     0.9940,    249.54,    160.13,    401.53,    0.6012,    0.2880,      1986,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1002_8C_8s_data.csv , 2023/09/19, 13:55:56,    1695142556166,--Not Acquired--     ,--Not Acquired--     , -1155.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2477,     0.9946,    248.91,    159.18,    402.53,    0.6046,    0.2880,      2187,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1002_8C_8s_data.csv , 2023/09/19, 13:56:04,    1695142564673,--Not Acquired--     ,--Not Acquired--     , -1155.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2609,     0.9939,    250.08,    159.41,    403.30,    0.6047,    0.2720,      2003,    1.0000,
