----,
DateTime:        , 2023/09/19, 16:19:57, 1695151197676,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -1155.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      56,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,      91.23,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    103.544,
    1,        0.8,    510.043,     145.478,    135.795,
    2,        3.3,    539.444,     165.233,    165.381,
    3,        5.8,    539.992,     183.892,    190.961,
    4,        8.3,    540.213,     205.289,    213.051,
    5,       10.8,    540.598,     226.138,    232.117,
    6,       13.3,    540.775,     245.573,    248.558,
    7,       15.8,    541.056,     262.542,    262.730,
    8,       18.3,    541.426,     276.400,    274.940,
    9,       20.8,    541.559,     287.965,    285.452,
   10,       23.3,    541.707,     297.762,    294.497,
   11,       25.8,    541.885,     305.600,    302.278,
   12,       28.3,    542.180,     311.797,    308.968,
   13,       30.8,    542.151,     317.808,    314.717,
   14,       33.3,    542.550,     321.721,    319.656,
   15,       35.8,    542.639,     325.815,    323.898,
   16,       38.3,    542.713,     328.443,    327.540,
   17,       40.8,    542.491,     331.158,    330.667,
   18,       43.3,    542.698,     333.979,    333.350,
   19,       45.8,    542.742,     335.703,    335.652,
   20,       48.3,    542.876,     337.002,    337.625,
   21,       50.8,    542.772,     338.356,    339.319,
   22,       53.3,    542.846,     339.691,    340.771,
   23,       55.8,    542.728,     340.779,    342.016,
   24,       58.3,    543.201,     341.494,    343.080,
   25,       60.8,    543.127,     342.369,    343.992,
   26,       63.3,    542.949,     343.126,    344.776,
   27,       65.8,    543.275,     343.657,    345.444,
   28,       68.3,    543.230,     344.421,    346.017,
   29,       70.8,    543.157,     345.020,    346.509,
