Source DataFile                                                            ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
---------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230918_MaPo1002_4C_1s_DecayRef_data.csv , 2023/09/18, 13:46:19,    1695055579732,--Not Acquired--     ,--Not Acquired--     , -2955.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.8027,     0.9900,    211.71,    188.81,    680.77,    0.7227,    0.0470,      2248,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230918_MaPo1002_4C_1s_DecayRef_data.csv , 2023/09/18, 13:46:21,    1695055581266,--Not Acquired--     ,--Not Acquired--     , -2923.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1217,     0.9880,    222.07,    220.73,    630.42,    0.6499,    0.2020,      1294,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230918_MaPo1002_4C_1s_DecayRef_data.csv , 2023/09/18, 13:46:22,    1695055582798,--Not Acquired--     ,--Not Acquired--     , -2923.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0690,     0.9874,    227.74,    221.06,    613.31,    0.6396,    0.2750,      1057,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230918_MaPo1002_4C_1s_DecayRef_data.csv , 2023/09/18, 13:46:24,    1695055584309,--Not Acquired--     ,--Not Acquired--     , -2922.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2369,     0.9880,    223.02,    201.04,    623.28,    0.6774,    0.2160,      1252,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230918_MaPo1002_4C_1s_DecayRef_data.csv , 2023/09/18, 13:46:26,    1695055585848,--Not Acquired--     ,--Not Acquired--     , -2922.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3187,     0.9876,    222.45,    199.28,    616.33,    0.6767,    0.2450,      1164,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230918_MaPo1002_4C_1s_DecayRef_data.csv , 2023/09/18, 13:46:27,    1695055587370,--Not Acquired--     ,--Not Acquired--     , -2935.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0681,     0.9872,    224.38,    209.15,    602.83,    0.6531,    0.2930,      1031,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230918_MaPo1002_4C_1s_DecayRef_data.csv , 2023/09/18, 13:46:29,    1695055588904,--Not Acquired--     ,--Not Acquired--     , -2942.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0754,     0.9862,    225.95,    208.65,    606.06,    0.6557,    0.2980,       939,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230918_MaPo1002_4C_1s_DecayRef_data.csv , 2023/09/18, 13:46:30,    1695055590443,--Not Acquired--     ,--Not Acquired--     , -2930.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1328,     0.9864,    225.42,    202.35,    611.64,    0.6692,    0.2710,       998,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230918_MaPo1002_4C_1s_DecayRef_data.csv , 2023/09/18, 13:46:32,    1695055591966,--Not Acquired--     ,--Not Acquired--     , -2970.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0939,     0.9862,    224.16,    205.91,    608.74,    0.6617,    0.2690,       992,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230918_MaPo1002_4C_1s_DecayRef_data.csv , 2023/09/18, 13:46:33,    1695055593508,--Not Acquired--     ,--Not Acquired--     , -2923.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0585,     0.9866,    225.90,    206.59,    601.88,    0.6568,    0.2890,       980,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230918_MaPo1002_4C_1s_DecayRef_data.csv , 2023/09/18, 13:46:35,    1695055595041,--Not Acquired--     ,--Not Acquired--     , -2949.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0901,     0.9863,    225.85,    203.97,    604.35,    0.6625,    0.2810,       968,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230918_MaPo1002_4C_1s_DecayRef_data.csv , 2023/09/18, 13:46:36,    1695055596569,--Not Acquired--     ,--Not Acquired--     , -2939.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.1365,     0.9867,    226.09,    204.04,    604.83,    0.6626,    0.2850,       998,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230918_MaPo1002_4C_1s_DecayRef_data.csv , 2023/09/18, 13:46:38,    1695055598107,--Not Acquired--     ,--Not Acquired--     , -2954.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0882,     0.9870,    224.74,    206.35,    604.42,    0.6586,    0.3100,       980,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230918_MaPo1002_4C_1s_DecayRef_data.csv , 2023/09/18, 13:46:39,    1695055599629,--Not Acquired--     ,--Not Acquired--     , -2968.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0926,     0.9863,    225.22,    205.91,    605.22,    0.6598,    0.2960,       950,    1.0000,
