----,
DateTime:        , 2023/09/18, 15:22:34, 1695061354373,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -2931.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,              1,       1, 
SNR_raw:,     140.94,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    104.864,
    1,        0.8,    518.473,     120.930,    117.896,
    2,        3.3,    541.350,     135.305,    132.988,
    3,        5.8,    540.600,     149.091,    148.404,
    4,        8.3,    541.350,     161.261,    163.393,
    5,       10.8,    540.975,     176.531,    177.536,
    6,       13.3,    541.350,     190.078,    190.644,
    7,       15.8,    540.600,     203.475,    202.650,
    8,       18.3,    541.350,     215.755,    213.561,
    9,       20.8,    542.100,     225.233,    223.429,
   10,       23.3,    540.975,     236.238,    232.331,
   11,       25.8,    540.975,     244.556,    240.331,
   12,       28.3,    542.100,     249.952,    247.504,
   13,       30.8,    543.225,     256.613,    253.930,
   14,       33.3,    541.350,     262.859,    259.712,
   15,       35.8,    543.225,     266.370,    264.866,
   16,       38.3,    543.225,     270.788,    269.485,
   17,       40.8,    541.725,     275.230,    273.640,
   18,       43.3,    543.600,     278.327,    277.328,
   19,       45.8,    542.475,     281.301,    280.649,
   20,       48.3,    542.850,     283.317,    283.611,
   21,       50.8,    541.350,     286.134,    286.284,
   22,       53.3,    543.225,     287.724,    288.638,
   23,       55.8,    542.850,     289.765,    290.755,
   24,       58.3,    543.975,     291.004,    292.630,
   25,       60.8,    542.850,     292.712,    294.332,
   26,       63.3,    544.725,     293.907,    295.821,
   27,       65.8,    542.475,     295.311,    297.200,
   28,       68.3,    542.850,     297.317,    298.419,
   29,       70.8,    543.975,     297.806,    299.488,
