----,
DateTime:        , 2023/09/20, 16:00:30, 1695236430448,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -1193.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,     173.18,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     71.452,
    1,        0.8,    511.297,      85.799,     83.206,
    2,        3.3,    540.082,      95.467,     95.207,
    3,        5.8,    540.762,     104.609,    106.685,
    4,        8.3,    540.999,     115.192,    117.536,
    5,       10.8,    541.191,     125.591,    127.708,
    6,       13.3,    541.723,     135.713,    137.183,
    7,       15.8,    542.048,     146.331,    145.962,
    8,       18.3,    542.063,     155.551,    154.060,
    9,       20.8,    542.388,     163.755,    161.505,
   10,       23.3,    542.565,     171.534,    168.330,
   11,       25.8,    542.639,     177.961,    174.574,
   12,       28.3,    542.772,     183.629,    180.274,
   13,       30.8,    542.993,     188.526,    185.470,
   14,       33.3,    543.186,     192.970,    190.200,
   15,       35.8,    543.333,     196.507,    194.502,
   16,       38.3,    543.496,     200.404,    198.411,
   17,       40.8,    543.452,     203.364,    201.961,
   18,       43.3,    543.452,     205.664,    205.182,
   19,       45.8,    543.614,     208.362,    208.102,
   20,       48.3,    543.732,     210.248,    210.749,
   21,       50.8,    543.540,     212.254,    213.150,
   22,       53.3,    543.422,     213.588,    215.325,
   23,       55.8,    543.599,     215.542,    217.293,
   24,       58.3,    543.629,     217.002,    219.076,
   25,       60.8,    543.718,     218.438,    220.689,
   26,       63.3,    543.747,     219.438,    222.149,
   27,       65.8,    543.806,     220.885,    223.471,
   28,       68.3,    543.910,     221.946,    224.666,
   29,       70.8,    543.924,     222.951,    225.748,
