Source DataFile                                                             ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
----------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1006_20C_1s_DecayRef_data.csv , 2023/09/20, 17:03:02,    1695240182060,--Not Acquired--     ,--Not Acquired--     , -1184.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.2213,     0.9661,    165.09,     37.24,    110.47,    0.6629,    0.0000,       940,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1006_20C_1s_DecayRef_data.csv , 2023/09/20, 17:03:03,    1695240183590,--Not Acquired--     ,--Not Acquired--     , -1174.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.2823,     0.9644,    184.93,     42.94,     99.82,    0.5698,    0.0000,       705,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1006_20C_1s_DecayRef_data.csv , 2023/09/20, 17:03:05,    1695240185096,--Not Acquired--     ,--Not Acquired--     , -1178.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2227,     0.9637,    195.93,     42.17,     98.02,    0.5698,    0.0000,       629,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1006_20C_1s_DecayRef_data.csv , 2023/09/20, 17:03:06,    1695240186591,--Not Acquired--     ,--Not Acquired--     , -1174.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.4217,     0.9611,    188.78,     41.17,    102.39,    0.5979,    0.0000,       616,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1006_20C_1s_DecayRef_data.csv , 2023/09/20, 17:03:08,    1695240188080,--Not Acquired--     ,--Not Acquired--     , -1179.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.3029,     0.9625,    182.79,     40.95,     99.53,    0.5886,    0.0000,       677,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1006_20C_1s_DecayRef_data.csv , 2023/09/20, 17:03:09,    1695240189587,--Not Acquired--     ,--Not Acquired--     , -1173.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.1985,     0.9598,    187.00,     41.68,     99.96,    0.5831,    0.0000,       601,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1006_20C_1s_DecayRef_data.csv , 2023/09/20, 17:03:11,    1695240191071,--Not Acquired--     ,--Not Acquired--     , -1185.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   200  ,     0.3545,     0.9606,    183.08,     41.82,    100.34,    0.5832,    0.0000,       638,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1006_20C_1s_DecayRef_data.csv , 2023/09/20, 17:03:12,    1695240192573,--Not Acquired--     ,--Not Acquired--     , -1188.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.4208,     0.9616,    183.76,     41.36,    100.64,    0.5890,    0.0000,       652,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\DecayRef\20230920_MaPo1006_20C_1s_DecayRef_data.csv , 2023/09/20, 17:03:14,    1695240194076,--Not Acquired--     ,--Not Acquired--     , -1182.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2521,     0.9640,    188.99,     41.63,    100.20,    0.5845,    0.0000,       672,    1.0000,
