Source DataFile                                            ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
-----------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_12C_LRC_data.csv , 2023/09/19, 15:19:37,    1695147577603,--Not Acquired--     ,--Not Acquired--     , -1136.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.8308,     0.9890,    249.36,    320.82,   1067.95,    0.6996,    0.1280,      1354,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_12C_LRC_data.csv , 2023/09/19, 15:19:48,    1695147588119,--Not Acquired--     ,--Not Acquired--     , -1134.50,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3479,     0.9695,    162.63,    495.06,    894.11,    0.4463,    0.0000,      1133,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_12C_LRC_data.csv , 2023/09/19, 15:19:49,    1695147589597,--Not Acquired--     ,--Not Acquired--     , -1145.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0584,     0.9852,    222.06,    359.04,    843.49,    0.5743,    0.1660,      1094,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_12C_LRC_data.csv , 2023/09/19, 15:20:00,    1695147600093,--Not Acquired--     ,--Not Acquired--     , -1147.00,     0.0000,      0.0000,  NO DATA,    '10000,     30.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.5563,     0.9776,    172.84,    481.34,    851.56,    0.4348,    0.0000,      1471,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_12C_LRC_data.csv , 2023/09/19, 15:20:01,    1695147601583,--Not Acquired--     ,--Not Acquired--     , -1154.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2392,     0.9848,    211.69,    363.34,    855.44,    0.5753,    0.0000,      1495,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_12C_LRC_data.csv , 2023/09/19, 15:20:12,    1695147612095,--Not Acquired--     ,--Not Acquired--     , -1137.00,     0.0000,      0.0000,  NO DATA,    '10000,     50.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.5411,     0.9811,    181.33,    508.47,    857.32,    0.4069,    0.0000,      1634,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_12C_LRC_data.csv , 2023/09/19, 15:20:13,    1695147613603,--Not Acquired--     ,--Not Acquired--     , -1170.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3308,     0.9876,    220.30,    371.86,    898.77,    0.5863,    0.0000,      1745,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_12C_LRC_data.csv , 2023/09/19, 15:20:24,    1695147624097,--Not Acquired--     ,--Not Acquired--     , -1107.00,     0.0000,      0.0000,  NO DATA,    '10000,    100.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.1415,     0.9664,    148.37,    538.34,    782.04,    0.3116,    0.0000,      1295,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_12C_LRC_data.csv , 2023/09/19, 15:20:25,    1695147625582,--Not Acquired--     ,--Not Acquired--     , -1159.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2935,     0.9856,    207.78,    363.27,    848.87,    0.5721,    0.0000,      1652,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_12C_LRC_data.csv , 2023/09/19, 15:20:36,    1695147636077,--Not Acquired--     ,--Not Acquired--     , -1093.00,     0.0000,      0.0000,  NO DATA,    '10000,    120.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     1.0860,     0.9638,    142.22,    551.25,    788.87,    0.3012,    0.0000,      1334,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_12C_LRC_data.csv , 2023/09/19, 15:20:37,    1695147637580,--Not Acquired--     ,--Not Acquired--     , -1170.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.3612,     0.9861,    203.01,    368.52,    860.62,    0.5718,    0.0000,      1818,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1001_12C_LRC_data.csv , 2023/09/19, 15:20:48,    1695147648086,--Not Acquired--     ,--Not Acquired--     , -1086.00,     0.0000,      0.0000,  NO DATA,    '10000,    150.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.9125,     0.9411,    123.07,    572.77,    800.47,    0.2845,    0.0000,       952,    1.0000,
