Source DataFile                                           ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Alp1QA,
----------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_8C_LRC_data.csv , 2023/09/19, 14:39:56,    1695145195984,--Not Acquired--     ,--Not Acquired--     , -1197.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.4903,     0.9896,    244.30,     94.21,    283.44,    0.6676,    0.0710,      1606,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_8C_LRC_data.csv , 2023/09/19, 14:40:06,    1695145206469,--Not Acquired--     ,--Not Acquired--     , -1178.50,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.0707,     0.9717,    180.87,    131.98,    242.09,    0.4548,    0.0000,       970,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_8C_LRC_data.csv , 2023/09/19, 14:40:08,    1695145207979,--Not Acquired--     ,--Not Acquired--     , -1180.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0242,     0.9827,    230.51,    101.90,    234.02,    0.5646,    0.2180,       820,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_8C_LRC_data.csv , 2023/09/19, 14:40:18,    1695145218473,--Not Acquired--     ,--Not Acquired--     , -1189.00,     0.0000,      0.0000,  NO DATA,    '10000,     30.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2876,     0.9711,    176.23,    138.51,    243.27,    0.4306,    0.0000,      1000,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_8C_LRC_data.csv , 2023/09/19, 14:40:20,    1695145219967,--Not Acquired--     ,--Not Acquired--     , -1186.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0232,     0.9832,    230.81,    102.31,    234.76,    0.5642,    0.1730,       905,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_8C_LRC_data.csv , 2023/09/19, 14:40:30,    1695145230482,--Not Acquired--     ,--Not Acquired--     , -1187.00,     0.0000,      0.0000,  NO DATA,    '10000,     50.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.5405,     0.9701,    170.94,    138.52,    230.16,    0.3982,    0.0000,      1026,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_8C_LRC_data.csv , 2023/09/19, 14:40:32,    1695145231984,--Not Acquired--     ,--Not Acquired--     , -1191.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0708,     0.9826,    219.63,    101.47,    227.46,    0.5539,    0.0950,      1042,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_8C_LRC_data.csv , 2023/09/19, 14:40:42,    1695145242478,--Not Acquired--     ,--Not Acquired--     , -1172.50,     0.0000,      0.0000,  NO DATA,    '10000,    100.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.4214,     0.9539,    164.40,    150.36,    222.03,    0.3228,    0.0000,       639,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_8C_LRC_data.csv , 2023/09/19, 14:40:44,    1695145243992,--Not Acquired--     ,--Not Acquired--     , -1194.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0957,     0.9809,    208.27,    100.80,    220.81,    0.5435,    0.0000,      1178,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_8C_LRC_data.csv , 2023/09/19, 14:40:54,    1695145254507,--Not Acquired--     ,--Not Acquired--     , -1169.00,     0.0000,      0.0000,  NO DATA,    '10000,    120.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.4283,     0.9524,    156.18,    149.45,    219.77,    0.3200,    0.0000,       679,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_8C_LRC_data.csv , 2023/09/19, 14:40:56,    1695145256009,--Not Acquired--     ,--Not Acquired--     , -1190.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.0964,     0.9806,    199.17,    100.09,    216.93,    0.5386,    0.0000,      1260,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_8C_LRC_data.csv , 2023/09/19, 14:41:06,    1695145266520,--Not Acquired--     ,--Not Acquired--     , -1162.50,     0.0000,      0.0000,  NO DATA,    '10000,    150.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.5232,     0.9365,    137.66,    149.12,    212.44,    0.2981,    0.0000,       606,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_8C_LRC_data.csv , 2023/09/19, 14:41:08,    1695145268028,--Not Acquired--     ,--Not Acquired--     , -1182.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.2814,     0.9773,    185.05,     97.42,    203.91,    0.5222,    0.0000,      1217,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_8C_LRC_data.csv , 2023/09/19, 14:41:18,    1695145278537,--Not Acquired--     ,--Not Acquired--     , -1151.50,     0.0000,      0.0000,  NO DATA,    '10000,    200.00,      0.00,      0.00,      0.00,      0.00,      0.00,   110  ,     0.5219,     0.9253,    122.11,    148.44,    200.02,    0.2579,    0.0000,       641,    1.0000,
C:\LIFT\DATA\LOW\Chlamy\20230919_MaPo1003_8C_LRC_data.csv , 2023/09/19, 14:41:20,    1695145280033,--Not Acquired--     ,--Not Acquired--     , -1188.50,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   100  ,     0.5764,     0.9746,    172.64,     94.96,    192.74,    0.5073,    0.0000,      1238,    1.0000,
