----,
DateTime:        , 2023/09/20, 14:19:07, 1695230347093,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -1187.50,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      54,      55,      65,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,     142.65,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     48.473,
    1,        0.8,    512.272,      55.363,     54.431,
    2,        3.3,    540.026,      60.813,     60.695,
    3,        5.8,    540.497,      65.978,     66.800,
    4,        8.3,    540.983,      71.095,     72.634,
    5,       10.8,    541.410,      77.411,     78.131,
    6,       13.3,    541.778,      83.357,     83.258,
    7,       15.8,    541.734,      88.717,     88.002,
    8,       18.3,    542.117,      93.727,     92.370,
    9,       20.8,    542.235,      98.502,     96.374,
   10,       23.3,    542.441,     102.152,    100.031,
   11,       25.8,    542.603,     105.070,    103.365,
   12,       28.3,    542.809,     108.070,    106.397,
   13,       30.8,    543.133,     110.951,    109.150,
   14,       33.3,    543.059,     112.992,    111.648,
   15,       35.8,    543.516,     114.921,    113.912,
   16,       38.3,    543.457,     116.497,    115.963,
   17,       40.8,    543.486,     118.147,    117.819,
   18,       43.3,    543.604,     119.501,    119.498,
   19,       45.8,    543.604,     120.881,    121.017,
   20,       48.3,    543.472,     121.922,    122.390,
   21,       50.8,    543.604,     122.996,    123.631,
   22,       53.3,    543.663,     123.902,    124.753,
   23,       55.8,    543.737,     124.621,    125.766,
   24,       58.3,    543.722,     124.901,    126.682,
   25,       60.8,    543.825,     126.440,    127.509,
   26,       63.3,    543.796,     126.815,    128.257,
   27,       65.8,    543.766,     127.649,    128.932,
   28,       68.3,    543.928,     128.346,    129.541,
   29,       70.8,    543.796,     128.470,    130.092,
