Source DataFile                                                             ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,
----------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_1S_445_nodecay__data.csv , 2023/03/09, 12:14:54,    1678378494549,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   122  ,    67.4556,     0.9542,    267.96,   1019.59,   3283.98,    0.6895,    0.2970,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_1S_445_nodecay__data.csv , 2023/03/09, 12:14:56,    1678378495963,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    10.3025,     0.9597,    267.65,   1191.19,   2786.15,    0.5725,    0.3560,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_1S_445_nodecay__data.csv , 2023/03/09, 12:14:57,    1678378497388,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.0721,     0.9709,    291.06,   1164.95,   2662.32,    0.5624,    0.4290,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_1S_445_nodecay__data.csv , 2023/03/09, 12:14:58,    1678378498808,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   112  ,    28.8783,     0.9667,    286.76,   1089.04,   2905.67,    0.6252,    0.3840,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_1S_445_nodecay__data.csv , 2023/03/09, 12:15:00,    1678378500256,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    36.8677,     0.9638,    281.19,   1075.62,   2911.44,    0.6306,    0.3620,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_1S_445_nodecay__data.csv , 2023/03/09, 12:15:01,    1678378501679,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    16.0241,     0.9663,    283.36,   1112.78,   2747.23,    0.5949,    0.3880,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_1S_445_nodecay__data.csv , 2023/03/09, 12:15:03,    1678378503104,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     7.9345,     0.9683,    289.45,   1107.93,   2713.94,    0.5918,    0.3980,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_1S_445_nodecay__data.csv , 2023/03/09, 12:15:04,    1678378504525,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    20.4364,     0.9682,    290.09,   1089.47,   2793.95,    0.6101,    0.3940,
C:\LIFT\DATA\LOW\NoDecay\LOW_20230309_NaOm1293_10C_1S_445_nodecay__data.csv , 2023/03/09, 12:15:06,    1678378505950,--Not Acquired--     ,--Not Acquired--     ,     0.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    23.5596,     0.9670,    286.95,   1086.53,   2790.17,    0.6106,    0.3870,
