----,
DateTime:        , 2023/03/09, 12:40:53, 1678380053252,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,    1523.41,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,   1019.026,
    1,        0.8,    163.113,    1041.915,   1050.529,
    2,        3.3,    180.126,    1103.595,   1092.398,
    3,        5.8,    180.265,    1159.406,   1140.388,
    4,        8.3,    180.306,    1205.727,   1192.925,
    5,       10.8,    180.334,    1254.063,   1248.750,
    6,       13.3,    180.265,    1307.244,   1306.835,
    7,       15.8,    180.389,    1360.114,   1366.389,
    8,       18.3,    180.458,    1416.115,   1426.745,
    9,       20.8,    180.708,    1474.204,   1487.392,
   10,       23.3,    180.500,    1533.795,   1547.828,
   11,       25.8,    180.735,    1594.320,   1607.751,
   12,       28.3,    180.597,    1652.298,   1666.825,
   13,       30.8,    180.652,    1712.682,   1724.830,
   14,       33.3,    180.763,    1773.040,   1781.584,
   15,       35.8,    180.638,    1832.390,   1836.909,
   16,       38.3,    180.680,    1888.975,   1890.695,
   17,       40.8,    180.708,    1943.470,   1942.846,
   18,       43.3,    180.915,    1996.514,   1993.305,
   19,       45.8,    180.763,    2048.815,   2041.998,
   20,       48.3,    180.749,    2097.935,   2088.895,
   21,       50.8,    180.777,    2146.016,   2133.975,
   22,       53.3,    180.818,    2192.531,   2177.232,
   23,       55.8,    180.846,    2233.667,   2218.671,
   24,       58.3,    180.915,    2273.163,   2258.305,
   25,       60.8,    180.985,    2310.419,   2296.157,
   26,       63.3,    181.012,    2346.251,   2332.257,
   27,       65.8,    180.915,    2381.501,   2366.639,
