----,
DateTime:        , 2023/03/09, 12:19:11, 1678378751486,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,            0.00,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      69,      70,      70,
Lamps:,        #10000,
Gain:,              2,      25, 
SNR_raw:,    1171.66,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,   1028.742,
    1,        0.8,    162.861,    1052.738,   1061.427,
    2,        3.3,    180.211,    1113.179,   1103.397,
    3,        5.8,    180.211,    1167.800,   1150.403,
    4,        8.3,    180.308,    1212.373,   1201.204,
    5,       10.8,    180.432,    1260.862,   1254.779,
    6,       13.3,    180.418,    1311.674,   1310.267,
    7,       15.8,    180.474,    1361.694,   1366.993,
    8,       18.3,    180.695,    1414.537,   1424.420,
    9,       20.8,    180.612,    1470.831,   1482.035,
   10,       23.3,    180.557,    1526.667,   1539.450,
   11,       25.8,    180.654,    1583.140,   1596.369,
   12,       28.3,    180.557,    1640.481,   1652.497,
   13,       30.8,    180.654,    1696.893,   1707.641,
   14,       33.3,    180.889,    1752.455,   1761.639,
   15,       35.8,    180.501,    1810.513,   1814.266,
   16,       38.3,    180.668,    1864.751,   1865.461,
   17,       40.8,    180.834,    1916.125,   1915.129,
   18,       43.3,    180.709,    1967.527,   1963.169,
   19,       45.8,    180.695,    2016.102,   2009.532,
   20,       48.3,    180.778,    2063.024,   2054.185,
   21,       50.8,    180.931,    2108.543,   2097.110,
   22,       53.3,    180.917,    2149.331,   2138.284,
   23,       55.8,    180.931,    2189.790,   2177.706,
   24,       58.3,    180.944,    2229.690,   2215.384,
   25,       60.8,    180.834,    2265.341,   2251.330,
   26,       63.3,    181.138,    2297.140,   2285.581,
   27,       65.8,    180.861,    2330.514,   2318.159,
